Osg10Sin	Osg12Sin	Osg03Sin	Osg11Sin	Osg10Pal	Osg12Pal	Osg03Pal	Osg11Pal	Osg10Mul	Osg12Mul	Osg03Mul	Osg11Mul
Osg10Sin	1	0.385644238399533	0.44759190908977	0.479964503266337	-0.0496010372895531	-0.373457773614002	-0.0150630234146528	-0.301871973974848	-0.292161245758804	-0.404638549001226	-0.478916938579142	-0.441504798350563
Osg12Sin	0.385644238399533	1	0.492160268345901	0.366450900558842	-0.310784685146282	-0.161231543546361	0.144321719550547	-0.137954736312025	-0.347796180790137	-0.478184591621084	-0.402713184370277	-0.52841122048408
Osg03Sin	0.44759190908977	0.492160268345901	1	0.357375393552166	-0.334967233110618	-0.253867473096207	0.0853916377901457	-0.257313561008904	-0.318999456022861	-0.380504921828683	-0.497116165393969	-0.410824459605222
Osg11Sin	0.479964503266337	0.366450900558842	0.357375393552166	1	-0.192226144739913	-0.421944773369691	0.05534789173386	-0.290361604313684	-0.183029166283771	-0.427620734137508	-0.263970399080818	-0.385853705272882
Osg10Pal	-0.0496010372895531	-0.310784685146282	-0.334967233110618	-0.192226144739913	1	0.138340254116275	0.327977591205547	0.294996067466407	-0.225205685437126	-0.268963548377795	-0.219452624055465	-0.111743352464591
Osg12Pal	-0.373457773614002	-0.161231543546361	-0.253867473096207	-0.421944773369691	0.138340254116275	1	0.174320547315748	0.32392884883004	-0.389211596954472	0.0424476648202193	-0.0264103284898319	-0.197926868943821
Osg03Pal	-0.0150630234146528	0.144321719550547	0.0853916377901457	0.05534789173386	0.327977591205547	0.174320547315748	1	0.284636977027566	-0.518384461709574	-0.57331947426559	-0.502242429959699	-0.407508144865018
Osg11Pal	-0.301871973974848	-0.137954736312025	-0.257313561008904	-0.290361604313684	0.294996067466407	0.32392884883004	0.284636977027566	1	-0.306925073701425	-0.303638561943648	-0.154090778103697	-0.00273204591510755
Osg10Mul	-0.292161245758804	-0.347796180790137	-0.318999456022861	-0.183029166283771	-0.225205685437126	-0.389211596954472	-0.518384461709574	-0.306925073701425	1	0.514671969599348	0.455128027271768	0.636972652178323
Osg12Mul	-0.404638549001226	-0.478184591621084	-0.380504921828683	-0.427620734137508	-0.268963548377795	0.0424476648202193	-0.57331947426559	-0.303638561943648	0.514671969599348	1	0.679689845929391	0.470199944667111
Osg03Mul	-0.478916938579142	-0.402713184370277	-0.497116165393969	-0.263970399080818	-0.219452624055465	-0.0264103284898319	-0.502242429959699	-0.154090778103697	0.455128027271768	0.679689845929391	1	0.442674836537785
Osg11Mul	-0.441504798350563	-0.52841122048408	-0.410824459605222	-0.385853705272882	-0.111743352464591	-0.197926868943821	-0.407508144865018	-0.00273204591510755	0.636972652178323	0.470199944667111	0.442674836537785	1
