Osg10Sin	Osg12Sin	Osg03Sin	Osg11Sin	Osg10Pal	Osg12Pal	Osg03Pal	Osg11Pal	Osg10Mul	Osg12Mul	Osg03Mul	Osg11Mul
Osg10Sin	1	0.391908593750126	0.345342037384574	0.482378611515845	0.174258416960384	-0.187685580197963	0.10273632837781	-0.159190321218234	-0.477404913800283	-0.53184684317447	-0.512620373727063	-0.474635896532382
Osg12Sin	0.391908593750126	1	0.520727844955963	0.384581747336869	-0.124884127060966	-0.0178419660192693	0.256377723361701	-0.100664371586098	-0.532162019846323	-0.545536240942139	-0.588173113661251	-0.525275906444508
Osg03Sin	0.345342037384574	0.520727844955963	1	0.576852928022181	-0.0866415546719395	-0.0325905890979936	0.384522987344546	-0.181984882417421	-0.598053744907687	-0.640722680826215	-0.629779116030175	-0.614537628896818
Osg11Sin	0.482378611515845	0.384581747336869	0.576852928022181	1	-0.0284632058909362	-0.224262617441523	0.264881035300643	-0.256064053410171	-0.497738161927254	-0.552016227141731	-0.532608736606672	-0.517065254522978
Osg10Pal	0.174258416960384	-0.124884127060966	-0.0866415546719395	-0.0284632058909362	1	0.0311736621229241	0.171572112132656	0.17381543448939	-0.242057529778872	-0.308233685337042	-0.289196915918668	-0.246776727990197
Osg12Pal	-0.187685580197963	-0.0178419660192693	-0.0325905890979936	-0.224262617441523	0.0311736621229241	1	0.138804361806437	0.163173162044863	-0.354316450196745	-0.0562407412145465	-0.139314245206689	-0.312975161869548
Osg03Pal	0.10273632837781	0.256377723361701	0.384522987344546	0.264881035300643	0.171572112132656	0.138804361806437	1	0.00763823964886085	-0.477489895276362	-0.569763739247831	-0.583522538633154	-0.573715143048397
Osg11Pal	-0.159190321218234	-0.100664371586098	-0.181984882417421	-0.256064053410171	0.17381543448939	0.163173162044863	0.00763823964886085	1	-0.157016655326788	-0.176632952893425	-0.0764413465894725	0.0283581919898322
Osg10Mul	-0.477404913800283	-0.532162019846323	-0.598053744907687	-0.497738161927254	-0.242057529778872	-0.354316450196745	-0.477489895276362	-0.157016655326788	1	0.663762920991483	0.65261209766496	0.796598084828568
Osg12Mul	-0.53184684317447	-0.545536240942139	-0.640722680826215	-0.552016227141731	-0.308233685337042	-0.0562407412145465	-0.569763739247831	-0.176632952893425	0.663762920991483	1	0.815423305303034	0.619585708028474
Osg03Mul	-0.512620373727063	-0.588173113661251	-0.629779116030175	-0.532608736606672	-0.289196915918668	-0.139314245206689	-0.583522538633154	-0.0764413465894725	0.65261209766496	0.815423305303034	1	0.665918865009015
Osg11Mul	-0.474635896532382	-0.525275906444508	-0.614537628896818	-0.517065254522978	-0.246776727990197	-0.312975161869548	-0.573715143048397	0.0283581919898322	0.796598084828568	0.619585708028474	0.665918865009015	1
