#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN7104_c0_g1_i1:147-500    -            118 6111at3041           -            181   3.9e-40  135.1   0.0   1   1   4.8e-42   4.3e-40  135.0   0.0    18   128     2   118     1   118 0.95 -
TRINITY_DN90944_c0_g1_i1:4-450     -            149 6111at3041           -            181   1.4e-39  133.3   0.0   1   1   1.7e-41   1.5e-39  133.1   0.0    15   139     1   134     1   148 0.90 -
TRINITY_DN47497_c0_g1_i1:8-565     -            186 6111at3041           -            181   1.2e-36  123.7   0.0   1   2   1.2e-34   1.1e-32  110.9   0.0    15   110    18   118     5   127 0.90 -
TRINITY_DN47497_c0_g1_i1:8-565     -            186 6111at3041           -            181   1.2e-36  123.7   0.0   2   2   0.00056      0.05   10.9   0.0   112   137   148   173   142   184 0.78 -
TRINITY_DN2861_c0_g1_i2:8-364      -            119 6111at3041           -            181   3.4e-35  119.0   0.0   1   1   4.2e-37   3.7e-35  118.9   0.0    15   128     2   119     1   119 0.93 -
TRINITY_DN16033_c0_g1_i1:63-533    -            157 6111at3041           -            181   3.7e-32  109.1   0.0   1   1   6.1e-33   5.4e-31  105.3   0.0    14   129     1   134     1   146 0.84 -
TRINITY_DN2861_c0_g1_i4:19-342     -            108 6111at3041           -            181   1.2e-28   97.7   0.0   1   1   1.4e-30   1.3e-28   97.6   0.0     8   110     2   108     1   108 0.92 -
TRINITY_DN7104_c0_g9_i1:19-348     -            110 6111at3041           -            181   4.5e-28   95.8   0.0   1   1   5.6e-30     5e-28   95.7   0.0    22   127     1   109     1   110 0.95 -
TRINITY_DN7104_c0_g9_i2:14-382     -            123 6111at3041           -            181     1e-27   94.6   0.0   1   1   1.3e-29   1.1e-27   94.5   0.0    13   127     5   122     1   123 0.93 -
TRINITY_DN9118_c0_g1_i1:187-564    -            126 6111at3041           -            181   4.8e-24   82.7   0.1   1   1   5.8e-26   5.1e-24   82.6   0.1    22   131     1   119     1   126 0.85 -
TRINITY_DN7104_c0_g3_i4:117-467    -            117 6111at3041           -            181   1.6e-21   74.4   0.0   1   1     2e-23   1.8e-21   74.3   0.0    24   127     3   117     1   117 0.86 -
TRINITY_DN7104_c0_g6_i1:86-430     -            115 6111at3041           -            181   1.9e-21   74.2   0.0   1   1   2.3e-23   2.1e-21   74.1   0.0    48   140     3   101     2   115 0.85 -
TRINITY_DN9118_c0_g1_i2:115-444    -            110 6111at3041           -            181   5.7e-21   72.6   0.6   1   1   6.8e-23   6.1e-21   72.6   0.6    38   131     1   103     1   110 0.83 -
TRINITY_DN7104_c0_g3_i1:625-960    -            112 6111at3041           -            181   1.8e-20   71.0   0.1   1   1   2.2e-22     2e-20   70.9   0.1    28   127     2   112     1   112 0.86 -
TRINITY_DN9116_c0_g1_i1:132-494    -            121 6111at3041           -            181   4.5e-20   69.7   0.1   1   1   5.5e-22   4.9e-20   69.6   0.1    17   127     1   121     1   121 0.85 -
TRINITY_DN9116_c0_g1_i4:132-494    -            121 6111at3041           -            181   4.5e-20   69.7   0.1   1   1   5.5e-22   4.9e-20   69.6   0.1    17   127     1   121     1   121 0.85 -
TRINITY_DN9116_c0_g1_i6:132-494    -            121 6111at3041           -            181   4.5e-20   69.7   0.1   1   1   5.5e-22   4.9e-20   69.6   0.1    17   127     1   121     1   121 0.85 -
TRINITY_DN9116_c0_g1_i7:132-494    -            121 6111at3041           -            181   4.5e-20   69.7   0.1   1   1   5.5e-22   4.9e-20   69.6   0.1    17   127     1   121     1   121 0.85 -
TRINITY_DN29520_c0_g1_i1:13-405    -            131 6111at3041           -            181   7.2e-20   69.1   0.0   1   1   3.5e-20   3.1e-18   63.7   0.0    13   128     2   131     1   131 0.86 -
TRINITY_DN35129_c0_g1_i1:33-410    -            126 6111at3041           -            181   3.6e-19   66.8   0.0   1   1   4.7e-21   4.2e-19   66.6   0.0    22   121     1   103     1   110 0.94 -
TRINITY_DN362_c0_g2_i10:1406-1789  -            128 6111at3041           -            181   7.4e-19   65.8   0.1   1   1   9.4e-21   8.3e-19   65.6   0.1    15   129     2   126     1   128 0.87 -
TRINITY_DN1144_c0_g2_i1:740-1228   -            163 6111at3041           -            181   7.8e-19   65.7   0.4   1   1     1e-20   9.2e-19   65.5   0.4    15   138     2   137     1   156 0.87 -
TRINITY_DN1144_c0_g2_i3:749-1237   -            163 6111at3041           -            181   7.8e-19   65.7   0.4   1   1     1e-20   9.2e-19   65.5   0.4    15   138     2   137     1   156 0.87 -
TRINITY_DN22828_c0_g1_i2:243-722   -            160 6111at3041           -            181   1.3e-18   65.0   0.2   1   1   1.8e-20   1.6e-18   64.7   0.2    17   137     1   133     1   140 0.86 -
TRINITY_DN362_c0_g2_i1:15-389      -            125 6111at3041           -            181   1.6e-18   64.7   0.1   1   1     2e-20   1.8e-18   64.5   0.1    15   128     2   125     1   125 0.87 -
TRINITY_DN22828_c0_g1_i1:2463-2942 -            160 6111at3041           -            181   1.6e-18   64.7   0.2   1   1   2.3e-20     2e-18   64.3   0.2    17   137     1   133     1   140 0.85 -
TRINITY_DN22828_c0_g1_i3:2463-2942 -            160 6111at3041           -            181   1.6e-18   64.7   0.2   1   1   2.3e-20     2e-18   64.3   0.2    17   137     1   133     1   140 0.85 -
TRINITY_DN362_c0_g2_i10:731-1210   -            160 6111at3041           -            181   3.9e-17   60.2   0.2   1   1   5.1e-19   4.5e-17   59.9   0.2    17   137     3   133     1   149 0.84 -
