#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN194_c0_g1_i17:71-1870 -            600 72at3041             -           1030   1.7e-27   91.4   0.1   1   3   1.5e-09   3.2e-07   24.3   0.0   553   628    71   144    55   156 0.84 -
TRINITY_DN194_c0_g1_i17:71-1870 -            600 72at3041             -           1030   1.7e-27   91.4   0.1   2   3   5.4e-07   0.00012   15.8   0.0   773   873   242   330   216   345 0.71 -
TRINITY_DN194_c0_g1_i17:71-1870 -            600 72at3041             -           1030   1.7e-27   91.4   0.1   3   3   1.4e-16     3e-14   47.6   0.0   899  1009   480   587   468   599 0.88 -
TRINITY_DN194_c0_g1_i13:71-1741 -            557 72at3041             -           1030     2e-27   91.2   0.1   1   3   1.3e-09   2.9e-07   24.5   0.0   553   628    71   144    55   157 0.84 -
TRINITY_DN194_c0_g1_i13:71-1741 -            557 72at3041             -           1030     2e-27   91.2   0.1   2   3   7.7e-07   0.00017   15.3   0.0   773   861   242   321   215   343 0.72 -
TRINITY_DN194_c0_g1_i13:71-1741 -            557 72at3041             -           1030     2e-27   91.2   0.1   3   3   1.2e-16   2.6e-14   47.8   0.0   899  1009   437   544   425   556 0.88 -
TRINITY_DN194_c0_g1_i3:71-1741  -            557 72at3041             -           1030     2e-27   91.2   0.1   1   3   1.3e-09   2.9e-07   24.5   0.0   553   628    71   144    55   157 0.84 -
TRINITY_DN194_c0_g1_i3:71-1741  -            557 72at3041             -           1030     2e-27   91.2   0.1   2   3   7.7e-07   0.00017   15.3   0.0   773   861   242   321   215   343 0.72 -
TRINITY_DN194_c0_g1_i3:71-1741  -            557 72at3041             -           1030     2e-27   91.2   0.1   3   3   1.2e-16   2.6e-14   47.8   0.0   899  1009   437   544   425   556 0.88 -
TRINITY_DN194_c0_g1_i15:71-1372 -            434 72at3041             -           1030   6.7e-20   66.3   0.1   1   2   5.1e-07   0.00011   15.9   0.0   773   861   119   198    92   220 0.72 -
TRINITY_DN194_c0_g1_i15:71-1372 -            434 72at3041             -           1030   6.7e-20   66.3   0.1   2   2   7.8e-17   1.7e-14   48.4   0.0   899  1009   314   421   302   433 0.88 -
TRINITY_DN2851_c0_g1_i1:5-664   -            220 72at3041             -           1030    0.0047   10.5   0.0   1   1   2.6e-05    0.0058   10.2   0.0   565   591    83   109    64   133 0.85 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/72at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Sin/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg03Sin.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Sin/run_chlorophyta_odb10/hmmer_output/rerun_results/72at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/72at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Sin/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg03Sin.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:10 2022
# [ok]
