#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN1871_c0_g1_i1:123-665   -            181 8260at3041           -            210   2.4e-42  141.6   2.2   1   1   1.8e-43   2.1e-41  138.5   2.2     9   115     1   127     1   136 0.85 -
TRINITY_DN1871_c0_g1_i2:123-665   -            181 8260at3041           -            210   2.4e-42  141.6   2.2   1   1   1.8e-43   2.1e-41  138.5   2.2     9   115     1   127     1   136 0.85 -
TRINITY_DN41335_c0_g1_i1:397-1008 -            204 8260at3041           -            210   6.6e-06   22.5   0.0   1   2     2e-05    0.0024   14.1   0.0   130   201    23   103     7   109 0.77 -
TRINITY_DN41335_c0_g1_i1:397-1008 -            204 8260at3041           -            210   6.6e-06   22.5   0.0   2   2    0.0046      0.54    6.4   0.0   137   201   119   192   113   201 0.64 -
TRINITY_DN4122_c0_g1_i10:991-1623 -            211 8260at3041           -            210   3.7e-05   20.0   0.4   1   2     6e-05     0.007   12.6   0.1   128   197     8    87     1    97 0.74 -
TRINITY_DN4122_c0_g1_i10:991-1623 -            211 8260at3041           -            210   3.7e-05   20.0   0.4   2   2     0.008      0.93    5.7   0.0   151   200   143   194    93   201 0.80 -
TRINITY_DN4122_c0_g1_i12:991-1623 -            211 8260at3041           -            210   3.7e-05   20.0   0.4   1   2     6e-05     0.007   12.6   0.1   128   197     8    87     1    97 0.74 -
TRINITY_DN4122_c0_g1_i12:991-1623 -            211 8260at3041           -            210   3.7e-05   20.0   0.4   2   2     0.008      0.93    5.7   0.0   151   200   143   194    93   201 0.80 -
TRINITY_DN4122_c0_g1_i2:991-1623  -            211 8260at3041           -            210   3.7e-05   20.0   0.4   1   2     6e-05     0.007   12.6   0.1   128   197     8    87     1    97 0.74 -
TRINITY_DN4122_c0_g1_i2:991-1623  -            211 8260at3041           -            210   3.7e-05   20.0   0.4   2   2     0.008      0.93    5.7   0.0   151   200   143   194    93   201 0.80 -
TRINITY_DN4122_c0_g1_i4:991-1623  -            211 8260at3041           -            210   3.7e-05   20.0   0.4   1   2     6e-05     0.007   12.6   0.1   128   197     8    87     1    97 0.74 -
TRINITY_DN4122_c0_g1_i4:991-1623  -            211 8260at3041           -            210   3.7e-05   20.0   0.4   2   2     0.008      0.93    5.7   0.0   151   200   143   194    93   201 0.80 -
TRINITY_DN4122_c0_g1_i6:991-1623  -            211 8260at3041           -            210   3.7e-05   20.0   0.4   1   2     6e-05     0.007   12.6   0.1   128   197     8    87     1    97 0.74 -
TRINITY_DN4122_c0_g1_i6:991-1623  -            211 8260at3041           -            210   3.7e-05   20.0   0.4   2   2     0.008      0.93    5.7   0.0   151   200   143   194    93   201 0.80 -
TRINITY_DN41335_c0_g1_i1:544-1323 -            260 8260at3041           -            210   6.5e-05   19.2   0.2   1   3    0.0004     0.047    9.9   0.0   156   201     8    54     4    60 0.84 -
TRINITY_DN41335_c0_g1_i1:544-1323 -            260 8260at3041           -            210   6.5e-05   19.2   0.2   2   3    0.0072      0.84    5.8   0.0   138   201    71   143    65   156 0.65 -
TRINITY_DN41335_c0_g1_i1:544-1323 -            260 8260at3041           -            210   6.5e-05   19.2   0.2   3   3      0.51        60   -0.2   0.0   155   199   199   244   148   251 0.54 -
TRINITY_DN5470_c0_g1_i3:581-811   -             77 8260at3041           -            210   0.00041   16.6   0.0   1   1   4.1e-06   0.00048   16.4   0.0   156   203    18    66    11    70 0.84 -
TRINITY_DN11842_c0_g1_i1:411-632  -             74 8260at3041           -            210    0.0094   12.2   0.0   1   1   8.7e-05      0.01   12.1   0.0   155   201    16    64     7    72 0.79 -
TRINITY_DN285_c0_g1_i1:152-367    -             72 8260at3041           -            210    0.0098   12.1   0.0   1   1   8.4e-05    0.0098   12.1   0.0   157   198    18    58     1    68 0.78 -
TRINITY_DN4203_c0_g1_i2:276-446   -             57 8260at3041           -            210     0.016   11.4   0.0   1   1   0.00015     0.017   11.3   0.0   153   191    15    55     1    57 0.67 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/8260at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg03Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/hmmer_output/rerun_results/8260at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/8260at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg03Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:13:07 2022
# [ok]
