#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN33213_c0_g1_i1:47-757  -            237 4975at3041           -            302     1e-14   51.2   0.3   1   1   2.3e-16   4.9e-14   48.9   0.3    38   189    54   229    42   235 0.73 -
TRINITY_DN1682_c0_g1_i1:25-1095  -            357 4975at3041           -            302   3.9e-14   49.3   0.0   1   2     2e-15   4.2e-13   45.9   0.0    39   212    52   253    42   269 0.72 -
TRINITY_DN1682_c0_g1_i1:25-1095  -            357 4975at3041           -            302   3.9e-14   49.3   0.0   2   2       0.2        42   -0.1   0.0   255   299   316   357   291   357 0.77 -
TRINITY_DN108494_c0_g1_i1:66-821 -            252 4975at3041           -            302   5.8e-08   29.0   0.2   1   1   5.4e-10   1.2e-07   28.0   0.2    41   215    61   251    50   252 0.69 -
TRINITY_DN95138_c0_g1_i1:63-869  -            269 4975at3041           -            302   3.3e-07   26.5   0.0   1   2   5.7e-09   1.2e-06   24.7   0.0   105   213    36   159    20   184 0.72 -
TRINITY_DN95138_c0_g1_i1:63-869  -            269 4975at3041           -            302   3.3e-07   26.5   0.0   2   2      0.44        93   -1.2   0.0   278   298   247   266   210   268 0.59 -
TRINITY_DN52518_c0_g1_i1:10-633  -            208 4975at3041           -            302   1.5e-06   24.4   0.0   1   1   3.4e-08   7.2e-06   22.1   0.0   103   220    19   153    12   206 0.75 -
TRINITY_DN557_c0_g2_i1:56-793    -            246 4975at3041           -            302   1.9e-06   24.0   0.0   1   3     2e-08   4.3e-06   22.8   0.0   108   156     3    52     1    71 0.88 -
TRINITY_DN557_c0_g2_i1:56-793    -            246 4975at3041           -            302   1.9e-06   24.0   0.0   2   3       2.1   4.5e+02   -3.5   0.0   171   194    86   109    75   133 0.69 -
TRINITY_DN557_c0_g2_i1:56-793    -            246 4975at3041           -            302   1.9e-06   24.0   0.0   3   3       1.2   2.6e+02   -2.7   0.0   115   146   135   165   108   170 0.60 -
TRINITY_DN1887_c0_g1_i2:255-935  -            227 4975at3041           -            302   5.6e-05   19.2   0.0   1   1     3e-06   0.00064   15.7   0.0   110   299     4   226     1   227 0.65 -
TRINITY_DN1887_c0_g1_i3:657-1337 -            227 4975at3041           -            302   5.6e-05   19.2   0.0   1   1     3e-06   0.00064   15.7   0.0   110   299     4   226     1   227 0.65 -
TRINITY_DN7682_c0_g1_i2:5-598    -            198 4975at3041           -            302   0.00033   16.6   0.0   1   1   2.2e-06   0.00046   16.2   0.0    65   154    96   184    88   192 0.80 -
TRINITY_DN10494_c0_g1_i1:0-839   -            280 4975at3041           -            302    0.0012   14.8   0.0   1   1   1.2e-05    0.0026   13.7   0.0    42   149    11   126     2   148 0.69 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/4975at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Mul/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg10Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Mul/run_chlorophyta_odb10/hmmer_output/rerun_results/4975at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/4975at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Mul/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg10Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:14:05 2022
# [ok]
