#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN718_c0_g1_i3:169-699 -            177 11392at3041          -            123   3.8e-63  208.9   3.3   1   2   9.4e-64   6.8e-61  201.7   1.7     1   111     1   116     1   122 0.94 -
TRINITY_DN718_c0_g1_i3:169-699 -            177 11392at3041          -            123   3.8e-63  208.9   3.3   2   2    0.0018       1.3    7.0   0.0   111   122   163   174   146   175 0.89 -
TRINITY_DN718_c0_g1_i4:249-779 -            177 11392at3041          -            123   3.8e-63  208.9   3.3   1   2   9.4e-64   6.8e-61  201.7   1.7     1   111     1   116     1   122 0.94 -
TRINITY_DN718_c0_g1_i4:249-779 -            177 11392at3041          -            123   3.8e-63  208.9   3.3   2   2    0.0018       1.3    7.0   0.0   111   122   163   174   146   175 0.89 -
TRINITY_DN718_c0_g1_i2:87-554  -            156 11392at3041          -            123   3.1e-49  164.0   1.4   1   2   1.5e-49   1.1e-46  155.8   0.5    22   111     1    95     1   101 0.93 -
TRINITY_DN718_c0_g1_i2:87-554  -            156 11392at3041          -            123   3.1e-49  164.0   1.4   2   2    0.0015       1.1    7.3   0.0   111   122   142   153   125   154 0.89 -
TRINITY_DN718_c0_g1_i1:124-438 -            105 11392at3041          -            123   1.3e-15   55.5   0.2   1   2   1.9e-15   1.4e-12   45.7   0.1    71   111     1    44     1    50 0.89 -
TRINITY_DN718_c0_g1_i1:124-438 -            105 11392at3041          -            123   1.3e-15   55.5   0.2   2   2   0.00078      0.56    8.2   0.0   111   122    91   102    72   103 0.88 -
TRINITY_DN1986_c0_g1_i1:45-614 -            190 11392at3041          -            123    0.0028   15.6   0.1   1   1   7.3e-06    0.0052   14.8   0.1    33    94    47   111    43   124 0.83 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/11392at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg11Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Mul/run_chlorophyta_odb10/hmmer_output/initial_run_results/11392at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/11392at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg11Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:14 2022
# [ok]
