#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN194_c0_g2_i3:2-1315 -            438 1804at3041           -            381  4.2e-208  689.4   6.2   1   1  7.5e-211  5.8e-208  688.9   6.2     1   372     1   401     1   409 0.93 -
TRINITY_DN194_c0_g2_i6:2-1564 -            493 1804at3041           -            381  1.1e-205  681.4   4.0   1   2   1.5e-07   0.00012   19.7   0.0     1    25     1    26     1    56 0.81 -
TRINITY_DN194_c0_g2_i6:2-1564 -            493 1804at3041           -            381  1.1e-205  681.4   4.0   2   2  1.6e-202  1.2e-199  661.5   2.3    27   372    94   456    89   464 0.95 -
TRINITY_DN194_c0_g2_i4:2-1419 -            439 1804at3041           -            381  3.9e-205  679.6   6.0   1   1  6.8e-208  5.2e-205  679.2   6.0     1   372     1   402     1   410 0.93 -
TRINITY_DN194_c0_g2_i5:2-1475 -            439 1804at3041           -            381  3.9e-205  679.6   6.0   1   1  6.8e-208  5.2e-205  679.2   6.0     1   372     1   402     1   410 0.93 -
TRINITY_DN194_c0_g2_i7:2-832  -            277 1804at3041           -            381  3.6e-136  452.6   0.4   1   1  5.7e-139  4.4e-136  452.3   0.4   142   372     1   240     1   248 0.95 -
TRINITY_DN194_c0_g1_i3:3-1426 -            448 1804at3041           -            381  9.7e-118  392.0   0.5   1   1    2e-120  1.5e-117  391.3   0.5     2   369     3   410     2   421 0.87 -
TRINITY_DN194_c0_g1_i5:3-1346 -            448 1804at3041           -            381  9.7e-118  392.0   0.5   1   1    2e-120  1.5e-117  391.3   0.5     2   369     3   410     2   421 0.87 -
TRINITY_DN194_c0_g1_i1:3-1025 -            341 1804at3041           -            381  1.7e-103  345.0   0.3   1   1  2.7e-106  2.1e-103  344.8   0.3    87   369     4   303     1   314 0.90 -
TRINITY_DN194_c0_g1_i2:3-836  -            278 1804at3041           -            381   2.5e-86  288.6   0.1   1   1     4e-89   3.1e-86  288.3   0.1   143   369     1   240     1   251 0.90 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1804at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Sin/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg10Sin.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Sin/run_chlorophyta_odb10/hmmer_output/initial_run_results/1804at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1804at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Sin/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg10Sin.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:39 2022
# [ok]
