#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN1556_c0_g1_i6:148-465   -            106 5599at3041           -            194   7.9e-21   70.7  13.0   1   2   5.5e-15   1.6e-13   46.8   2.6    69   150     1    84     1    85 0.93 -
TRINITY_DN1556_c0_g1_i6:148-465   -            106 5599at3041           -            194   7.9e-21   70.7  13.0   2   2   1.9e-11   5.6e-10   35.3   2.9    69   138    34   105    32   106 0.90 -
TRINITY_DN1556_c0_g1_i1:280-648   -            123 5599at3041           -            194   3.9e-19   65.1   8.1   1   2   1.9e-07   5.5e-06   22.2   0.4    47   103     5    58     2    59 0.86 -
TRINITY_DN1556_c0_g1_i1:280-648   -            123 5599at3041           -            194   3.9e-19   65.1   8.1   2   2   1.1e-14     3e-13   45.9   3.6    65   132    53   122    52   123 0.89 -
TRINITY_DN1556_c0_g1_i5:1-321     -            107 5599at3041           -            194   1.3e-16   56.9   4.6   1   2   2.4e-09   6.9e-08   28.4   0.4    87   137     2    54     1    55 0.89 -
TRINITY_DN1556_c0_g1_i5:1-321     -            107 5599at3041           -            194   1.3e-16   56.9   4.6   2   2     1e-11     3e-10   36.2   0.3    68   124    49   107    46   107 0.91 -
TRINITY_DN1556_c0_g1_i2:316-663   -            116 5599at3041           -            194   2.9e-15   52.5  11.6   1   2   3.2e-13   9.2e-12   41.1   6.3    65   137     7    81     1    82 0.86 -
TRINITY_DN1556_c0_g1_i2:316-663   -            116 5599at3041           -            194   2.9e-15   52.5  11.6   2   2   2.7e-06   7.9e-05   18.5   0.7    68   105    76   114    73   116 0.88 -
TRINITY_DN1556_c0_g1_i6:514-861   -            116 5599at3041           -            194   2.9e-15   52.5  11.6   1   2   3.2e-13   9.2e-12   41.1   6.3    65   137     7    81     1    82 0.86 -
TRINITY_DN1556_c0_g1_i6:514-861   -            116 5599at3041           -            194   2.9e-15   52.5  11.6   2   2   2.7e-06   7.9e-05   18.5   0.7    68   105    76   114    73   116 0.88 -
TRINITY_DN28454_c0_g1_i1:19-354   -            112 5599at3041           -            194   9.6e-14   47.5   0.2   1   1   3.8e-15   1.1e-13   47.4   0.2    36   137    11   112     3   112 0.92 -
TRINITY_DN33190_c0_g1_i1:884-1240 -            119 5599at3041           -            194   1.3e-13   47.2   0.8   1   1   4.6e-14   1.3e-12   43.8   0.8    35   140     3   108     1   116 0.84 -
TRINITY_DN2425_c0_g1_i1:43-303    -             87 5599at3041           -            194   1.4e-13   47.0   0.0   1   1   5.4e-15   1.6e-13   46.9   0.0    49   136     1    87     1    87 0.92 -
TRINITY_DN33852_c0_g1_i1:48-338   -             97 5599at3041           -            194   1.9e-13   46.5   0.9   1   1   7.5e-15   2.2e-13   46.4   0.9    45   140     2    96     1    97 0.87 -
TRINITY_DN12138_c0_g1_i2:12-284   -             91 5599at3041           -            194   2.4e-13   46.2   0.8   1   1   1.2e-13   3.4e-12   42.5   0.8    37   127     1    90     1    91 0.85 -
TRINITY_DN296_c0_g1_i5:6-320      -            105 5599at3041           -            194   3.1e-13   45.9   3.0   1   1   3.1e-14     9e-13   44.4   2.9    65   149     7    93     2   104 0.89 -
TRINITY_DN869_c0_g2_i3:1334-1747  -            138 5599at3041           -            194   2.2e-12   43.1   1.9   1   2   8.3e-11   2.4e-09   33.2   0.8    48   149     5   107     1   108 0.87 -
TRINITY_DN869_c0_g2_i3:1334-1747  -            138 5599at3041           -            194   2.2e-12   43.1   1.9   2   2   2.5e-05   0.00071   15.3   0.0    69   106    91   127    83   138 0.77 -
TRINITY_DN1499_c0_g1_i1:229-636   -            136 5599at3041           -            194   2.3e-12   43.0   2.5   1   2   5.5e-08   1.6e-06   24.0   0.2    80   149     4    78     1    80 0.70 -
TRINITY_DN1499_c0_g1_i1:229-636   -            136 5599at3041           -            194   2.3e-12   43.0   2.5   2   2   1.4e-07   4.1e-06   22.7   0.6    35    99    64   128    63   133 0.55 -
TRINITY_DN21282_c0_g1_i1:0-260    -             87 5599at3041           -            194   3.3e-12   42.5   0.0   1   1   1.3e-13   3.9e-12   42.3   0.0    72   149     1    80     1    83 0.91 -
TRINITY_DN1556_c0_g2_i1:18-302    -             95 5599at3041           -            194   7.6e-12   41.3   2.0   1   1   3.1e-13   8.9e-12   41.1   2.0    74   149     2    79     1    83 0.89 -
TRINITY_DN1499_c0_g1_i2:33-347    -            105 5599at3041           -            194   2.9e-11   39.4   3.5   1   2   1.1e-06   3.3e-05   19.7   0.3    76   148     4    46     1    51 0.50 -
