#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN7404_c0_g1_i1:80-364 -             95 7011at3041           -            245     3e-31  105.4   2.9   1   1     3e-33   5.5e-31  104.6   2.9   104   168    31    95     1    95 0.90 -
TRINITY_DN1489_c0_g2_i1:69-647 -            193 7011at3041           -            245   1.1e-26   90.5  10.4   1   1   7.3e-29   1.3e-26   90.2  10.4    23   215     1   193     1   193 0.88 -
TRINITY_DN135_c0_g1_i1:24-701  -            226 7011at3041           -            245   4.2e-26   88.6   7.7   1   1   3.4e-28   6.1e-26   88.1   7.7    23   219    14   210     8   217 0.88 -
TRINITY_DN135_c0_g1_i2:24-701  -            226 7011at3041           -            245   4.2e-26   88.6   7.7   1   1   3.4e-28   6.1e-26   88.1   7.7    23   219    14   210     8   217 0.88 -
TRINITY_DN135_c0_g1_i3:24-701  -            226 7011at3041           -            245   4.2e-26   88.6   7.7   1   1   3.4e-28   6.1e-26   88.1   7.7    23   219    14   210     8   217 0.88 -
TRINITY_DN135_c0_g1_i7:24-701  -            226 7011at3041           -            245   4.2e-26   88.6   7.7   1   1   3.4e-28   6.1e-26   88.1   7.7    23   219    14   210     8   217 0.88 -
TRINITY_DN2333_c0_g1_i1:85-663 -            193 7011at3041           -            245   6.8e-24   81.4  10.9   1   1   5.5e-26     1e-23   80.8  10.9    23   215     1   193     1   193 0.84 -
TRINITY_DN2333_c0_g1_i4:85-663 -            193 7011at3041           -            245   6.8e-24   81.4  10.9   1   1   5.5e-26     1e-23   80.8  10.9    23   215     1   193     1   193 0.84 -
TRINITY_DN2333_c0_g1_i5:85-663 -            193 7011at3041           -            245   6.8e-24   81.4  10.9   1   1   5.5e-26     1e-23   80.8  10.9    23   215     1   193     1   193 0.84 -
TRINITY_DN2333_c0_g1_i8:85-663 -            193 7011at3041           -            245   6.9e-24   81.3  10.8   1   1   5.6e-26     1e-23   80.8  10.8    23   215     1   193     1   193 0.85 -
TRINITY_DN1489_c0_g2_i3:69-518 -            150 7011at3041           -            245   1.5e-20   70.4   3.9   1   1   1.1e-22   1.9e-20   70.1   3.9    23   164     1   143     1   148 0.86 -
TRINITY_DN1489_c0_g1_i1:1-342  -            114 7011at3041           -            245   2.3e-15   53.5   6.1   1   1   1.7e-17   3.2e-15   53.0   6.1   110   215    14   114     9   114 0.88 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/7011at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg10Pal.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/hmmer_output/rerun_results/7011at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/7011at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg10Pal.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:14:17 2022
# [ok]
