#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN577_c0_g2_i1:1-645       -            215 992at3041            -            367  7.7e-136  449.8   2.4   1   1  2.9e-137  8.6e-136  449.7   2.4   164   367     1   208     1   208 0.98 -
TRINITY_DN5225_c1_g6_i1:76-1068    -            331 992at3041            -            367  6.3e-114  377.7   0.3   1   1  2.6e-115  7.5e-114  377.5   0.3    58   358    14   320     5   328 0.95 -
TRINITY_DN577_c0_g1_i2:169-972     -            268 992at3041            -            367  4.9e-109  361.6   0.2   1   1  2.8e-110  8.3e-109  360.9   0.2    11   223    38   268    13   268 0.91 -
TRINITY_DN5225_c1_g1_i2:76-1041    -            322 992at3041            -            367  3.7e-105  348.9   0.6   1   1  1.5e-106  4.4e-105  348.6   0.6    57   358     5   311     3   319 0.96 -
TRINITY_DN5225_c1_g6_i2:76-1077    -            334 992at3041            -            367  1.8e-104  346.6   0.0   1   1  7.5e-106  2.2e-104  346.3   0.0    71   358    30   323    18   331 0.95 -
TRINITY_DN5225_c1_g2_i4:61-837     -            259 992at3041            -            367     3e-95  316.3   0.8   1   1   1.1e-96   3.3e-95  316.1   0.8   110   358     2   255     1   259 0.96 -
TRINITY_DN5225_c1_g2_i1:60-857     -            266 992at3041            -            367   9.5e-92  304.7   0.3   1   1   3.8e-93   1.1e-91  304.5   0.3   110   357     2   254     1   261 0.97 -
TRINITY_DN5225_c1_g2_i2:50-703     -            218 992at3041            -            367   1.6e-80  267.8   0.1   1   1   6.4e-82   1.9e-80  267.6   0.1   152   359     6   217     2   218 0.97 -
TRINITY_DN5225_c1_g2_i3:49-702     -            218 992at3041            -            367   7.8e-80  265.5   0.1   1   1   3.2e-81   9.5e-80  265.3   0.1   153   358     1   210     1   215 0.96 -
TRINITY_DN14277_c0_g2_i3:732-1451  -            240 992at3041            -            367   9.5e-64  212.6   0.2   1   1   3.5e-65     1e-63  212.5   0.2   114   345     2   236     1   240 0.93 -
TRINITY_DN2086_c0_g2_i6:119-1849   -            577 992at3041            -            367   3.3e-63  210.8   0.7   1   1   1.6e-64   4.7e-63  210.3   0.7   108   362   106   364   100   369 0.94 -
TRINITY_DN14277_c0_g2_i2:168-869   -            234 992at3041            -            367   8.5e-63  209.5   0.2   1   1   3.2e-64   9.3e-63  209.4   0.2   118   345     1   230     1   234 0.94 -
TRINITY_DN287_c0_g1_i1:88-1782     -            565 992at3041            -            367   5.7e-61  203.5   0.5   1   1   2.7e-62     8e-61  203.0   0.5   105   361   106   366   100   372 0.92 -
TRINITY_DN287_c0_g1_i3:88-1782     -            565 992at3041            -            367   5.7e-61  203.5   0.5   1   1   2.7e-62     8e-61  203.0   0.5   105   361   106   366   100   372 0.92 -
TRINITY_DN14277_c0_g2_i2:969-1673  -            235 992at3041            -            367   1.5e-58  195.5   0.0   1   1   5.8e-60   1.7e-58  195.3   0.0   113   340     2   234     1   235 0.94 -
TRINITY_DN14277_c0_g2_i3:1551-2255 -            235 992at3041            -            367   1.5e-58  195.5   0.0   1   1   5.8e-60   1.7e-58  195.3   0.0   113   340     2   234     1   235 0.94 -
TRINITY_DN11990_c0_g1_i1:140-1417  -            426 992at3041            -            367   2.2e-57  191.6   0.3   1   1   1.3e-58   3.7e-57  190.9   0.3   135   361     5   234     1   240 0.92 -
TRINITY_DN11990_c0_g1_i2:140-1417  -            426 992at3041            -            367   2.2e-57  191.6   0.3   1   1   1.3e-58   3.7e-57  190.9   0.3   135   361     5   234     1   240 0.92 -
TRINITY_DN771_c0_g1_i2:376-1104    -            243 992at3041            -            367   4.1e-57  190.8   0.0   1   1   1.6e-58   4.6e-57  190.6   0.0   101   339     1   243     1   243 0.95 -
TRINITY_DN2086_c0_g2_i9:119-1378   -            420 992at3041            -            367   4.3e-53  177.6   0.5   1   1     2e-54   5.9e-53  177.1   0.5   161   362     2   207     1   212 0.96 -
TRINITY_DN4253_c0_g1_i2:0-923      -            308 992at3041            -            367   9.2e-51  169.9   0.4   1   1   4.1e-52   1.2e-50  169.5   0.4   110   299   116   308   106   308 0.94 -
TRINITY_DN4870_c0_g1_i2:14-604     -            197 992at3041            -            367   2.1e-50  168.7   0.3   1   1   8.5e-52   2.5e-50  168.5   0.3   118   303     1   189     1   196 0.92 -
TRINITY_DN4870_c0_g1_i3:17-586     -            190 992at3041            -            367   1.3e-48  162.9   0.1   1   1   4.6e-50   1.3e-48  162.8   0.1   120   303     2   185     1   190 0.95 -
TRINITY_DN5225_c1_g3_i1:282-761    -            160 992at3041            -            367   9.3e-48  160.0   1.1   1   1   3.5e-49     1e-47  159.9   1.1   198   350     1   157     1   160 0.92 -
TRINITY_DN14277_c0_g1_i2:115-1095  -            327 992at3041            -            367   6.7e-47  157.2   0.1   1   1     3e-48   8.7e-47  156.8   0.1   117   329   110   327    99   327 0.91 -
TRINITY_DN14277_c0_g1_i4:121-1101  -            327 992at3041            -            367   6.7e-47  157.2   0.1   1   1     3e-48   8.7e-47  156.8   0.1   117   329   110   327    99   327 0.91 -
TRINITY_DN577_c3_g1_i1:31-1542     -            504 992at3041            -            367   6.1e-45  150.7   0.4   1   1     3e-46   8.8e-45  150.2   0.4   116   355   144   386   133   396 0.92 -
TRINITY_DN14277_c0_g1_i3:451-1011  -            187 992at3041            -            367     4e-44  148.0   0.1   1   1   1.5e-45   4.3e-44  147.9   0.1   121   302     2   187     1   187 0.90 -
TRINITY_DN4870_c0_g1_i1:14-520     -            169 992at3041            -            367   5.9e-44  147.5   0.2   1   1   2.2e-45   6.4e-44  147.4   0.2   118   283     1   169     1   169 0.92 -
