#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN483_c0_g2_i1:3-767    -            255 1271at3041           -            370   3.5e-09   31.8   0.4   1   1     7e-11   7.3e-09   30.7   0.4    80   265    14   215     1   255 0.63 -
TRINITY_DN85_c0_g1_i1:15-1289   -            425 1271at3041           -            370   7.7e-07   24.1   0.1   1   2   2.7e-06   0.00028   15.7   0.0     9   151     2   151     1   172 0.74 -
TRINITY_DN85_c0_g1_i1:15-1289   -            425 1271at3041           -            370   7.7e-07   24.1   0.1   2   2    0.0022      0.23    6.1   0.0   273   327   305   363   271   372 0.82 -
TRINITY_DN48_c0_g1_i2:734-2086  -            451 1271at3041           -            370   0.00075   14.2   1.1   1   2    0.0031      0.32    5.6   0.1     7    27     8    28     3   122 0.89 -
TRINITY_DN48_c0_g1_i2:734-2086  -            451 1271at3041           -            370   0.00075   14.2   1.1   2   2    0.0017      0.17    6.4   0.1   217   328   263   396   248   405 0.65 -
TRINITY_DN48_c0_g1_i3:802-2154  -            451 1271at3041           -            370   0.00075   14.2   1.1   1   2    0.0031      0.32    5.6   0.1     7    27     8    28     3   122 0.89 -
TRINITY_DN48_c0_g1_i3:802-2154  -            451 1271at3041           -            370   0.00075   14.2   1.1   2   2    0.0017      0.17    6.4   0.1   217   328   263   396   248   405 0.65 -
TRINITY_DN48_c0_g1_i4:802-2154  -            451 1271at3041           -            370   0.00075   14.2   1.1   1   2    0.0031      0.32    5.6   0.1     7    27     8    28     3   122 0.89 -
TRINITY_DN48_c0_g1_i4:802-2154  -            451 1271at3041           -            370   0.00075   14.2   1.1   2   2    0.0017      0.17    6.4   0.1   217   328   263   396   248   405 0.65 -
TRINITY_DN48_c0_g1_i8:734-2086  -            451 1271at3041           -            370   0.00075   14.2   1.1   1   2    0.0031      0.32    5.6   0.1     7    27     8    28     3   122 0.89 -
TRINITY_DN48_c0_g1_i8:734-2086  -            451 1271at3041           -            370   0.00075   14.2   1.1   2   2    0.0017      0.17    6.4   0.1   217   328   263   396   248   405 0.65 -
TRINITY_DN48_c0_g1_i9:734-2086  -            451 1271at3041           -            370   0.00075   14.2   1.1   1   2    0.0031      0.32    5.6   0.1     7    27     8    28     3   122 0.89 -
TRINITY_DN48_c0_g1_i9:734-2086  -            451 1271at3041           -            370   0.00075   14.2   1.1   2   2    0.0017      0.17    6.4   0.1   217   328   263   396   248   405 0.65 -
TRINITY_DN48_c0_g1_i11:802-2124 -            441 1271at3041           -            370     0.004   11.9   1.1   1   2     0.017       1.8    3.1   0.1    10    27     1    18     1   112 0.88 -
TRINITY_DN48_c0_g1_i11:802-2124 -            441 1271at3041           -            370     0.004   11.9   1.1   2   2    0.0015      0.16    6.6   0.1   217   328   253   386   232   394 0.66 -
TRINITY_DN48_c0_g1_i5:734-2056  -            441 1271at3041           -            370     0.004   11.9   1.1   1   2     0.017       1.8    3.1   0.1    10    27     1    18     1   112 0.88 -
TRINITY_DN48_c0_g1_i5:734-2056  -            441 1271at3041           -            370     0.004   11.9   1.1   2   2    0.0015      0.16    6.6   0.1   217   328   253   386   232   394 0.66 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1271at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Pal/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg03Pal.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Pal/run_chlorophyta_odb10/hmmer_output/rerun_results/1271at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1271at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Pal/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg03Pal.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:04 2022
# [ok]
