# BUSCO version is: 5.3.1 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Duplicated	TRINITY_DN3691_c0_g1_i3:218-7273	4222.2	2009	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
15at3041	Duplicated	TRINITY_DN3691_c0_g1_i6:218-6715	4075.6	1895	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	TRINITY_DN1128_c0_g1_i2:810-5003	2216.6	1148	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Fragmented	TRINITY_DN21597_c0_g1_i1:29-562	347.4	165	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Fragmented	TRINITY_DN4999_c0_g1_i2:455-1696	613.0	354	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Duplicated	TRINITY_DN50398_c0_g1_i1:53-328	202.9	91	https://www.orthodb.org/v10?query=64at3041	predicted protein
64at3041	Duplicated	TRINITY_DN50398_c0_g1_i2:87-362	202.9	91	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Missing
72at3041	Missing
91at3041	Fragmented	TRINITY_DN16705_c0_g1_i2:92-1036	348.9	173	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Duplicated	TRINITY_DN128_c0_g1_i1:66-2939	1408.2	750	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
96at3041	Duplicated	TRINITY_DN128_c0_g1_i7:161-3664	1653.5	909	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Missing
106at3041	Complete	TRINITY_DN12766_c0_g1_i5:67-4269	1802.8	1095	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	TRINITY_DN20710_c0_g1_i1:2-802	609.3	259	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	TRINITY_DN83571_c0_g1_i1:105-713	159.0	147	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Missing
126at3041	Fragmented	TRINITY_DN2268_c0_g1_i6:918-1820	547.6	280	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	TRINITY_DN40345_c0_g1_i1:1-2367	1550.4	732	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Fragmented	TRINITY_DN6266_c0_g1_i5:135-1856	854.5	467	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Duplicated	TRINITY_DN1014_c0_g1_i3:928-3714	1111.2	776	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
143at3041	Duplicated	TRINITY_DN1014_c0_g1_i6:2821-5607	1111.2	776	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
143at3041	Duplicated	TRINITY_DN626_c0_g1_i4:6-2591	1092.3	733	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
143at3041	Duplicated	TRINITY_DN626_c0_g1_i5:6-2591	1091.0	733	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
143at3041	Duplicated	TRINITY_DN626_c0_g1_i7:6-2591	1093.9	733	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Missing
155at3041	Complete	TRINITY_DN4646_c0_g1_i2:108-1109	607.3	310	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	TRINITY_DN689_c0_g1_i3:109-2565	1397.2	675	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Missing
179at3041	Complete	TRINITY_DN10783_c0_g1_i1:2-2332	1024.9	623	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Missing
207at3041	Duplicated	TRINITY_DN1223_c0_g1_i11:26-2821	1171.6	682	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
207at3041	Duplicated	TRINITY_DN1223_c0_g1_i6:26-2719	1182.3	682	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
207at3041	Duplicated	TRINITY_DN1223_c0_g1_i7:38-2296	1047.7	573	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
207at3041	Duplicated	TRINITY_DN1223_c0_g1_i8:26-2783	1182.4	682	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Fragmented	TRINITY_DN39580_c0_g1_i1:57-515	254.0	137	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Missing
226at3041	Duplicated	TRINITY_DN18337_c0_g3_i2:71-2394	526.1	597	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
226at3041	Duplicated	TRINITY_DN18337_c0_g3_i5:11-2571	617.5	656	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
226at3041	Duplicated	TRINITY_DN18337_c0_g3_i6:79-2567	616.9	654	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
226at3041	Duplicated	TRINITY_DN6600_c0_g1_i2:39-2119	574.8	554	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
226at3041	Duplicated	TRINITY_DN6600_c0_g1_i4:39-2119	573.7	554	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
226at3041	Duplicated	TRINITY_DN6600_c0_g1_i7:39-2119	573.9	554	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Missing
230at3041	Complete	TRINITY_DN5628_c0_g1_i5:212-3346	1434.2	882	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Duplicated	TRINITY_DN2421_c0_g2_i2:1169-2527	528.5	451	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
231at3041	Duplicated	TRINITY_DN2421_c0_g2_i3:32-1390	528.1	451	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
231at3041	Duplicated	TRINITY_DN2421_c0_g2_i4:396-1754	531.4	451	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
231at3041	Duplicated	TRINITY_DN2421_c0_g2_i5:204-1562	528.5	451	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
231at3041	Duplicated	TRINITY_DN2421_c0_g2_i8:1132-2490	528.5	451	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Missing
239at3041	Duplicated	TRINITY_DN4563_c1_g1_i2:42-3893	887.9	646	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
239at3041	Duplicated	TRINITY_DN4563_c1_g1_i4:89-2614	789.4	544	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Missing
251at3041	Complete	TRINITY_DN1677_c0_g1_i3:274-2721	853.2	649	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Missing
263at3041	Duplicated	TRINITY_DN17312_c0_g1_i11:378-3305	1322.8	765	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
263at3041	Duplicated	TRINITY_DN17312_c0_g1_i3:378-3459	1322.8	765	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
263at3041	Duplicated	TRINITY_DN17312_c0_g1_i4:334-3261	1322.8	765	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Fragmented	TRINITY_DN47113_c0_g1_i1:5-658	417.2	207	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
294at3041	Duplicated	TRINITY_DN1017_c0_g1_i18:86-2111	950.4	526	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
294at3041	Duplicated	TRINITY_DN1017_c0_g1_i19:86-2129	918.9	526	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
294at3041	Duplicated	TRINITY_DN1017_c0_g1_i6:86-2228	899.3	529	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
294at3041	Duplicated	TRINITY_DN1017_c0_g1_i8:86-2008	950.4	526	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
295at3041	Complete	TRINITY_DN533_c0_g1_i3:450-1850	642.2	392	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
307at3041	Complete	TRINITY_DN3670_c0_g1_i3:148-2058	694.5	473	https://www.orthodb.org/v10?query=307at3041	26S proteasome non-ATPase regulatory subunit 2 homolog
322at3041	Missing
324at3041	Missing
336at3041	Duplicated	TRINITY_DN12_c0_g3_i1:1145-3271	818.7	618	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
336at3041	Duplicated	TRINITY_DN669_c0_g4_i1:217-2331	902.7	604	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
336at3041	Duplicated	TRINITY_DN7_c0_g1_i12:2502-4568	853.2	606	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
336at3041	Duplicated	TRINITY_DN7_c0_g1_i5:1614-3680	853.2	606	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
345at3041	Missing
346at3041	Missing
363at3041	Duplicated	TRINITY_DN2046_c0_g2_i1:57-2564	566.6	658	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
363at3041	Duplicated	TRINITY_DN363_c0_g2_i1:1302-3929	541.7	681	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
363at3041	Duplicated	TRINITY_DN363_c0_g2_i5:1302-3929	543.4	680	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
366at3041	Fragmented	TRINITY_DN3915_c0_g1_i1:548-1219	346.9	195	https://www.orthodb.org/v10?query=366at3041	predicted protein
381at3041	Complete	TRINITY_DN3856_c0_g1_i3:110-2281	965.7	565	https://www.orthodb.org/v10?query=381at3041	NADH
388at3041	Missing
391at3041	Complete	TRINITY_DN6986_c0_g1_i3:14-1153	497.6	320	https://www.orthodb.org/v10?query=391at3041	transcription-coupled DNA repair protein
406at3041	Duplicated	TRINITY_DN5042_c0_g1_i1:655-2926	1033.1	571	https://www.orthodb.org/v10?query=406at3041	Transketolase
406at3041	Duplicated	TRINITY_DN5042_c0_g1_i3:655-2793	1039.2	571	https://www.orthodb.org/v10?query=406at3041	Transketolase
412at3041	Complete	TRINITY_DN2807_c0_g2_i1:795-2711	967.9	509	https://www.orthodb.org/v10?query=412at3041	Succinate dehydrogenase 
415at3041	Complete	TRINITY_DN61246_c0_g1_i1:4-936	387.0	246	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
416at3041	Complete	TRINITY_DN80325_c0_g1_i1:3-800	407.4	220	https://www.orthodb.org/v10?query=416at3041	AMP deaminase
417at3041	Fragmented	TRINITY_DN35841_c0_g1_i2:161-511	153.5	107	https://www.orthodb.org/v10?query=417at3041	transportin
424at3041	Missing
425at3041	Duplicated	TRINITY_DN103_c0_g1_i11:364-2256	99.2	456	https://www.orthodb.org/v10?query=425at3041	Cation-transporting ATPase
