#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN5456_c0_g1_i10:207-1593  -            435 1817at3041           -            276  6.2e-150  495.7  17.1   1   3  2.4e-139  1.4e-136  451.8   7.8     1   221    63   309    63   326 0.90 -
TRINITY_DN5456_c0_g1_i10:207-1593  -            435 1817at3041           -            276  6.2e-150  495.7  17.1   2   3      0.86   5.1e+02   -2.6   0.0   219   233   332   346   314   360 0.81 -
TRINITY_DN5456_c0_g1_i10:207-1593  -            435 1817at3041           -            276  6.2e-150  495.7  17.1   3   3   1.7e-14     1e-11   42.3   1.5   231   276   378   432   374   432 0.88 -
TRINITY_DN5456_c0_g1_i15:1484-2788 -            435 1817at3041           -            276  6.2e-150  495.7  17.1   1   3  2.4e-139  1.4e-136  451.8   7.8     1   221    63   309    63   326 0.90 -
TRINITY_DN5456_c0_g1_i15:1484-2788 -            435 1817at3041           -            276  6.2e-150  495.7  17.1   2   3      0.86   5.1e+02   -2.6   0.0   219   233   332   346   314   360 0.81 -
TRINITY_DN5456_c0_g1_i15:1484-2788 -            435 1817at3041           -            276  6.2e-150  495.7  17.1   3   3   1.7e-14     1e-11   42.3   1.5   231   276   378   432   374   432 0.88 -
TRINITY_DN5456_c0_g1_i18:918-2222  -            435 1817at3041           -            276  6.2e-150  495.7  17.1   1   3  2.4e-139  1.4e-136  451.8   7.8     1   221    63   309    63   326 0.90 -
TRINITY_DN5456_c0_g1_i18:918-2222  -            435 1817at3041           -            276  6.2e-150  495.7  17.1   2   3      0.86   5.1e+02   -2.6   0.0   219   233   332   346   314   360 0.81 -
TRINITY_DN5456_c0_g1_i18:918-2222  -            435 1817at3041           -            276  6.2e-150  495.7  17.1   3   3   1.7e-14     1e-11   42.3   1.5   231   276   378   432   374   432 0.88 -
TRINITY_DN5456_c0_g1_i26:1492-2796 -            435 1817at3041           -            276  6.2e-150  495.7  17.1   1   3  2.4e-139  1.4e-136  451.8   7.8     1   221    63   309    63   326 0.90 -
TRINITY_DN5456_c0_g1_i26:1492-2796 -            435 1817at3041           -            276  6.2e-150  495.7  17.1   2   3      0.86   5.1e+02   -2.6   0.0   219   233   332   346   314   360 0.81 -
TRINITY_DN5456_c0_g1_i26:1492-2796 -            435 1817at3041           -            276  6.2e-150  495.7  17.1   3   3   1.7e-14     1e-11   42.3   1.5   231   276   378   432   374   432 0.88 -
TRINITY_DN5456_c0_g1_i17:1484-2855 -            437 1817at3041           -            276  6.3e-150  495.7  17.1   1   3  2.4e-139  1.4e-136  451.8   7.8     1   221    65   311    65   328 0.90 -
TRINITY_DN5456_c0_g1_i17:1484-2855 -            437 1817at3041           -            276  6.3e-150  495.7  17.1   2   3      0.86   5.1e+02   -2.6   0.0   219   233   334   348   316   362 0.81 -
TRINITY_DN5456_c0_g1_i17:1484-2855 -            437 1817at3041           -            276  6.3e-150  495.7  17.1   3   3   1.7e-14     1e-11   42.3   1.5   231   276   380   434   376   434 0.88 -
TRINITY_DN5456_c0_g1_i4:207-1660   -            437 1817at3041           -            276  6.3e-150  495.7  17.1   1   3  2.4e-139  1.4e-136  451.8   7.8     1   221    65   311    65   328 0.90 -
TRINITY_DN5456_c0_g1_i4:207-1660   -            437 1817at3041           -            276  6.3e-150  495.7  17.1   2   3      0.86   5.1e+02   -2.6   0.0   219   233   334   348   316   362 0.81 -
TRINITY_DN5456_c0_g1_i4:207-1660   -            437 1817at3041           -            276  6.3e-150  495.7  17.1   3   3   1.7e-14     1e-11   42.3   1.5   231   276   380   434   376   434 0.88 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1817at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg11Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Mul/run_chlorophyta_odb10/hmmer_output/initial_run_results/1817at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1817at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg11Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:17 2022
# [ok]
