#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN5527_c0_g1_i1:4-669   -            222 7269at3041           -            170   8.7e-59  194.7   0.0   1   1   4.9e-61   1.2e-58  194.3   0.0    30   170    29   178     9   178 0.93 -
TRINITY_DN6341_c0_g1_i1:0-470   -            157 7269at3041           -            170   1.1e-09   35.0   2.3   1   1   6.5e-12   1.6e-09   34.4   2.0    42   121    42   131    20   148 0.81 -
TRINITY_DN13569_c0_g1_i1:72-278 -             69 7269at3041           -            170   2.2e-05   20.9   0.0   1   1     1e-07   2.5e-05   20.8   0.0    99   151     8    65     4    68 0.89 -
TRINITY_DN7348_c0_g1_i1:114-395 -             94 7269at3041           -            170   7.6e-05   19.2   0.0   1   1   3.5e-07   8.7e-05   19.0   0.0    99   151    20    78     4    85 0.83 -
TRINITY_DN38938_c0_g1_i1:1-264  -             88 7269at3041           -            170    0.0026   14.2   0.0   1   1   1.2e-05     0.003   14.0   0.0    99   151    18    76     2    81 0.74 -
TRINITY_DN2959_c0_g1_i1:423-647 -             75 7269at3041           -            170     0.011   12.1   0.0   1   1   4.6e-05     0.011   12.1   0.0    78   125     3    55     1    75 0.76 -
TRINITY_DN6652_c0_g1_i1:279-605 -            109 7269at3041           -            170     0.014   11.8   0.0   1   1   8.3e-05     0.021   11.2   0.0    77   151     9    96     2    99 0.69 -
TRINITY_DN6652_c0_g1_i2:279-605 -            109 7269at3041           -            170     0.014   11.8   0.0   1   1   8.3e-05     0.021   11.2   0.0    77   151     9    96     2    99 0.69 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/7269at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Sin/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg12Sin.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Sin/run_chlorophyta_odb10/hmmer_output/initial_run_results/7269at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/7269at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Sin/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg12Sin.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:05 2022
# [ok]
