#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN6983_c0_g1_i1:658-828   -             57 12560at3041          -            116   1.6e-15   55.3   0.5   1   1   9.3e-18   1.8e-15   55.2   0.5    68   115     1    48     1    49 0.96 -
TRINITY_DN6983_c0_g1_i2:429-599   -             57 12560at3041          -            116   1.6e-15   55.3   0.5   1   1   9.3e-18   1.8e-15   55.2   0.5    68   115     1    48     1    49 0.96 -
TRINITY_DN6290_c0_g2_i4:218-397   -             60 12560at3041          -            116   1.9e-13   48.6   0.0   1   1   1.1e-15     2e-13   48.6   0.0    65   115     4    54     1    55 0.96 -
TRINITY_DN6290_c0_g2_i5:218-397   -             60 12560at3041          -            116   2.4e-13   48.3   0.0   1   1   1.3e-15   2.5e-13   48.2   0.0    65   115     4    54     1    55 0.96 -
TRINITY_DN2765_c0_g2_i2:729-908   -             60 12560at3041          -            116   2.6e-12   45.0   0.0   1   1   1.5e-14   2.9e-12   44.8   0.0    65   115     1    51     1    52 0.97 -
TRINITY_DN34794_c0_g1_i1:108-290  -             61 12560at3041          -            116   1.6e-11   42.5   0.0   1   1   9.4e-14   1.8e-11   42.3   0.0    65   115     1    52     1    53 0.93 -
TRINITY_DN23852_c0_g1_i2:297-1052 -            252 12560at3041          -            116   6.8e-11   40.4   0.2   1   1   5.4e-13     1e-10   39.8   0.2    65   115     2    53     1    54 0.94 -
TRINITY_DN23852_c0_g1_i1:297-1319 -            341 12560at3041          -            116   1.1e-10   39.7   0.2   1   1   8.7e-13   1.7e-10   39.2   0.2    65   115     2    53     1    54 0.94 -
TRINITY_DN10863_c0_g1_i1:0-872    -            291 12560at3041          -            116   2.1e-10   38.8   0.1   1   1   1.7e-12   3.2e-10   38.3   0.1    65   115     1    51     1    52 0.97 -
TRINITY_DN3978_c0_g1_i1:745-915   -             57 12560at3041          -            116   2.2e-10   38.7   0.0   1   1   1.3e-12   2.4e-10   38.6   0.0    65   115     1    52     1    53 0.94 -
TRINITY_DN3978_c0_g1_i2:745-915   -             57 12560at3041          -            116   2.2e-10   38.7   0.0   1   1   1.3e-12   2.4e-10   38.6   0.0    65   115     1    52     1    53 0.94 -
TRINITY_DN4813_c0_g1_i1:73-1095   -            341 12560at3041          -            116     6e-10   37.4   0.5   1   1   4.7e-12   8.9e-10   36.8   0.5    65   115     2    53     1    54 0.93 -
TRINITY_DN4813_c0_g1_i3:73-1095   -            341 12560at3041          -            116     6e-10   37.4   0.5   1   1   4.7e-12   8.9e-10   36.8   0.5    65   115     2    53     1    54 0.93 -
TRINITY_DN46162_c0_g1_i1:41-229   -             63 12560at3041          -            116     9e-10   36.8   0.1   1   1   5.4e-12     1e-09   36.6   0.1    65   115     1    54     1    55 0.88 -
TRINITY_DN1111_c0_g1_i3:417-563   -             49 12560at3041          -            116   1.3e-09   36.3   0.0   1   1   7.4e-12   1.4e-09   36.2   0.0    65   115     1    48     1    49 0.93 -
TRINITY_DN2326_c0_g1_i2:1-441     -            147 12560at3041          -            116   6.1e-09   34.1   0.1   1   1   4.9e-11   9.3e-09   33.5   0.1    67   114     1    50     1    52 0.90 -
TRINITY_DN2326_c0_g1_i4:1-441     -            147 12560at3041          -            116   6.1e-09   34.1   0.1   1   1   4.9e-11   9.3e-09   33.5   0.1    67   114     1    50     1    52 0.90 -
TRINITY_DN1111_c0_g1_i1:863-2149  -            429 12560at3041          -            116   2.3e-08   32.3   0.4   1   1   2.6e-10   4.9e-08   31.2   0.1    62   115    16    66     9    67 0.89 -
TRINITY_DN49900_c0_g1_i1:250-402  -             51 12560at3041          -            116   2.9e-08   32.0   0.1   1   1   1.6e-10     3e-08   31.9   0.1    68   115     1    49     1    50 0.87 -
TRINITY_DN38618_c0_g1_i1:2-106    -             35 12560at3041          -            116   5.5e-08   31.0   0.2   1   1   2.9e-10   5.5e-08   31.0   0.2    65    96     1    32     1    35 0.95 -
TRINITY_DN35119_c0_g1_i1:255-485  -             77 12560at3041          -            116   6.4e-08   30.8   0.1   1   1   1.1e-09   2.1e-07   29.1   0.1    65   115     3    64     1    65 0.80 -
TRINITY_DN57855_c0_g1_i1:247-528  -             94 12560at3041          -            116   2.2e-07   29.1   0.0   1   1   1.7e-09   3.2e-07   28.6   0.0    65   115     1    50     1    51 0.90 -
TRINITY_DN4644_c0_g1_i1:208-429   -             74 12560at3041          -            116   1.5e-06   26.4   0.1   1   1   1.9e-08   3.5e-06   25.2   0.1    65    97     1    33     1    63 0.78 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/12560at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg10Pal.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/hmmer_output/initial_run_results/12560at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/12560at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg10Pal.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:24 2022
# [ok]
