#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN16792_c0_g1_i1:0-470     -            157 8106at3041           -            161   1.6e-37  126.3   0.6   1   1   4.5e-40     2e-37  126.0   0.6     1    70    88   157    88   157 0.99 -
TRINITY_DN4209_c0_g1_i2:223-546    -            108 8106at3041           -            161   3.8e-10   37.3   0.0   1   1   1.1e-12   4.6e-10   37.0   0.0    53   156     5   106     1   108 0.87 -
TRINITY_DN4209_c0_g1_i1:290-658    -            123 8106at3041           -            161   6.4e-10   36.5   0.0   1   1   2.1e-12   9.3e-10   36.0   0.0    54   157     4   105     1   108 0.87 -
TRINITY_DN8306_c0_g1_i1:2-787      -            262 8106at3041           -            161   2.6e-07   28.0   0.0   1   2     1e-08   4.4e-06   24.0   0.0    86   156    80   152    70   157 0.87 -
TRINITY_DN8306_c0_g1_i1:2-787      -            262 8106at3041           -            161   2.6e-07   28.0   0.0   2   2     0.077        33    1.7   0.0    59   123   193   259   181   261 0.53 -
TRINITY_DN2219_c0_g1_i4:1-798      -            266 8106at3041           -            161   0.00079   16.7   1.9   1   2      0.03        13    3.0   0.0   137   157    15    35     9    37 0.86 -
TRINITY_DN2219_c0_g1_i4:1-798      -            266 8106at3041           -            161   0.00079   16.7   1.9   2   2   1.1e-05    0.0047   14.2   0.8    91   158    35   104    30   107 0.87 -
TRINITY_DN7191_c0_g2_i1:199-507    -            103 8106at3041           -            161    0.0026   15.0   0.0   1   2      0.11        50    1.1   0.0   142   160    10    28     4    29 0.86 -
TRINITY_DN7191_c0_g2_i1:199-507    -            103 8106at3041           -            161    0.0026   15.0   0.0   2   2   5.1e-05     0.022   12.0   0.0   111   158    45    94    35    97 0.82 -
TRINITY_DN11644_c0_g1_i2:1163-1477 -            105 8106at3041           -            161     0.006   13.9   0.5   1   2     0.023        10    3.4   0.0   141   159    23    41     4    44 0.65 -
TRINITY_DN11644_c0_g1_i2:1163-1477 -            105 8106at3041           -            161     0.006   13.9   0.5   2   2   0.00036      0.16    9.2   0.1   100   139    48    87    39   105 0.77 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/8106at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Pal/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg11Pal.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Pal/run_chlorophyta_odb10/hmmer_output/initial_run_results/8106at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/8106at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Pal/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg11Pal.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:18 2022
# [ok]
