#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN99_c0_g1_i9:1-1406   -            439 1804at3041           -            381  2.6e-208  689.4   6.0   1   1  8.3e-211  3.6e-208  688.9   6.0     1   372     1   401     1   409 0.93 -
TRINITY_DN99_c0_g1_i4:1-1317   -            439 1804at3041           -            381  2.7e-208  689.4   6.2   1   1  8.4e-211  3.6e-208  688.9   6.2     1   372     1   401     1   409 0.93 -
TRINITY_DN99_c0_g1_i11:1-1566  -            494 1804at3041           -            381  6.8e-206  681.4   4.0   1   2   1.7e-07   7.3e-05   19.7   0.0     1    25     1    26     1    56 0.81 -
TRINITY_DN99_c0_g1_i11:1-1566  -            494 1804at3041           -            381  6.8e-206  681.4   4.0   2   2  1.8e-202  7.9e-200  661.5   2.3    27   372    94   456    89   464 0.95 -
TRINITY_DN99_c0_g1_i3:1-1477   -            440 1804at3041           -            381  2.4e-205  679.6   6.0   1   1  7.6e-208  3.3e-205  679.2   6.0     1   372     1   402     1   410 0.93 -
TRINITY_DN99_c0_g1_i8:1-1156   -            333 1804at3041           -            381    6e-165  546.7   0.3   1   1  1.9e-167  8.1e-165  546.2   0.3    93   372     3   295     2   303 0.95 -
TRINITY_DN99_c0_g2_i5:56-1435  -            460 1804at3041           -            381  6.6e-118  391.8   0.5   1   1  2.4e-120  1.1e-117  391.2   0.5     2   369     3   410     2   421 0.87 -
TRINITY_DN99_c0_g2_i1:56-1707  -            460 1804at3041           -            381  3.7e-117  389.4   0.5   1   1  1.4e-119  5.9e-117  388.7   0.5     2   369     3   410     2   421 0.87 -
TRINITY_DN99_c0_g2_i6:56-1339  -            428 1804at3041           -            381    6e-115  382.1   0.4   1   1  1.8e-117  7.8e-115  381.7   0.4    28   369    10   378     2   389 0.89 -
TRINITY_DN99_c0_g2_i2:56-925   -            290 1804at3041           -            381   1.8e-86  288.4   0.1   1   1   5.1e-89   2.2e-86  288.1   0.1   143   369     1   240     1   251 0.90 -
TRINITY_DN57704_c0_g1_i1:0-833 -            278 1804at3041           -            381   1.2e-19   68.4   0.1   1   1   3.6e-22   1.6e-19   68.0   0.1   248   365     2   121     1   132 0.91 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1804at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg10Pal.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/hmmer_output/initial_run_results/1804at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1804at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Pal/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg10Pal.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:23 2022
# [ok]
