#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN44_c0_g1_i1:60-2651 -            864 1727at3041           -            675  1.2e-267  887.3 130.6   1   4  6.1e-220  6.4e-217  719.6  21.5     1   467     8   541     8   559 0.92 -
TRINITY_DN44_c0_g1_i1:60-2651 -            864 1727at3041           -            675  1.2e-267  887.3 130.6   2   4   1.2e-46   1.3e-43  146.9  47.4   467   619   564   726   550   729 0.87 -
TRINITY_DN44_c0_g1_i1:60-2651 -            864 1727at3041           -            675  1.2e-267  887.3 130.6   3   4   5.8e-17   6.1e-14   48.8  15.0   602   673   723   802   713   804 0.83 -
TRINITY_DN44_c0_g1_i1:60-2651 -            864 1727at3041           -            675  1.2e-267  887.3 130.6   4   4         3   3.1e+03  -14.4  26.7   488   543   803   857   800   862 0.67 -
TRINITY_DN44_c0_g1_i4:60-2993 -            864 1727at3041           -            675  1.2e-267  887.3 130.6   1   4  6.1e-220  6.4e-217  719.6  21.5     1   467     8   541     8   559 0.92 -
TRINITY_DN44_c0_g1_i4:60-2993 -            864 1727at3041           -            675  1.2e-267  887.3 130.6   2   4   1.2e-46   1.3e-43  146.9  47.4   467   619   564   726   550   729 0.87 -
TRINITY_DN44_c0_g1_i4:60-2993 -            864 1727at3041           -            675  1.2e-267  887.3 130.6   3   4   5.8e-17   6.1e-14   48.8  15.0   602   673   723   802   713   804 0.83 -
TRINITY_DN44_c0_g1_i4:60-2993 -            864 1727at3041           -            675  1.2e-267  887.3 130.6   4   4         3   3.1e+03  -14.4  26.7   488   543   803   857   800   862 0.67 -
TRINITY_DN44_c0_g1_i2:106-624 -            173 1727at3041           -            675   8.3e-35  117.7  36.1   1   2   4.5e-25   4.7e-22   75.6   9.8   551   620     1    76     1    78 0.84 -
TRINITY_DN44_c0_g1_i2:106-624 -            173 1727at3041           -            675   8.3e-35  117.7  36.1   2   2   8.7e-18   9.1e-15   51.5  16.6   600   673    70   151    59   154 0.82 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1727at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg03Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/hmmer_output/initial_run_results/1727at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1727at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg03Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:11:29 2022
# [ok]
