#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN33024_c0_g1_i1:361-1506  -            382 4975at3041           -            302   3.5e-25   87.2   0.2   1   2   1.3e-26   2.3e-24   84.5   0.4    33   221    73   289    66   303 0.74 -
TRINITY_DN33024_c0_g1_i1:361-1506  -            382 4975at3041           -            302   3.5e-25   87.2   0.2   2   2       7.4   1.3e+03   -3.3   0.0   274   298   359   382   337   382 0.77 -
TRINITY_DN59560_c0_g1_i1:1-966     -            322 4975at3041           -            302   5.4e-22   76.7   0.0   1   1   1.1e-23     2e-21   74.9   0.0    40   200    77   263    63   287 0.76 -
TRINITY_DN74659_c0_g1_i1:0-1157    -            386 4975at3041           -            302   1.3e-19   69.0   0.0   1   1   2.4e-21   4.2e-19   67.2   0.0    40   211    85   284    73   308 0.74 -
TRINITY_DN31959_c0_g1_i1:15-767    -            251 4975at3041           -            302     4e-18   64.0   0.0   1   1   4.5e-20   7.8e-18   63.1   0.0    31   200    43   236    21   250 0.77 -
TRINITY_DN41789_c0_g1_i1:1-1089    -            363 4975at3041           -            302   5.1e-18   63.7   0.0   1   1   9.4e-20   1.6e-17   62.0   0.0    48   216    85   278    65   300 0.74 -
TRINITY_DN11670_c0_g1_i1:1290-2420 -            377 4975at3041           -            302   8.4e-17   59.7   0.0   1   2   7.2e-17   1.3e-14   52.6   0.0    35   194    60   243    53   296 0.69 -
TRINITY_DN11670_c0_g1_i1:1290-2420 -            377 4975at3041           -            302   8.4e-17   59.7   0.0   2   2     0.098        17    2.9   0.0   250   300   324   375   301   377 0.70 -
TRINITY_DN11670_c0_g1_i11:59-973   -            305 4975at3041           -            302   1.9e-15   55.3   0.1   1   2   1.6e-15   2.8e-13   48.1   0.0    49   194     1   170     1   226 0.67 -
TRINITY_DN11670_c0_g1_i11:59-973   -            305 4975at3041           -            302   1.9e-15   55.3   0.1   2   2     0.089        16    3.0   0.0   250   299   251   301   228   304 0.69 -
TRINITY_DN7233_c0_g2_i1:235-909    -            225 4975at3041           -            302   8.1e-15   53.2   0.0   1   1   1.5e-16   2.5e-14   51.6   0.0    40   210    10   208     2   218 0.72 -
TRINITY_DN7233_c0_g2_i2:14-910     -            299 4975at3041           -            302   1.6e-14   52.2   0.0   1   1   2.7e-16   4.7e-14   50.7   0.0    37   209    81   281    66   291 0.72 -
TRINITY_DN11670_c0_g1_i7:57-878    -            274 4975at3041           -            302   2.6e-14   51.5   0.1   1   1   1.1e-15   1.8e-13   48.7   0.1    49   194     1   170     1   222 0.67 -
TRINITY_DN7233_c0_g1_i1:22-1191    -            390 4975at3041           -            302   6.6e-14   50.2   0.0   1   2   8.8e-15   1.5e-12   45.7   0.0    38   212    82   284    67   300 0.72 -
TRINITY_DN7233_c0_g1_i1:22-1191    -            390 4975at3041           -            302   6.6e-14   50.2   0.0   2   2      0.26        45    1.5   0.0   255   300   347   389   321   390 0.79 -
TRINITY_DN7233_c0_g1_i2:22-1191    -            390 4975at3041           -            302   6.6e-14   50.2   0.0   1   2   8.8e-15   1.5e-12   45.7   0.0    38   212    82   284    67   300 0.72 -
TRINITY_DN7233_c0_g1_i2:22-1191    -            390 4975at3041           -            302   6.6e-14   50.2   0.0   2   2      0.26        45    1.5   0.0   255   300   347   389   321   390 0.79 -
TRINITY_DN31465_c0_g1_i1:27-665    -            213 4975at3041           -            302   2.5e-13   48.3   0.1   1   1   9.3e-15   1.6e-12   45.6   0.1    33   148    83   213    74   213 0.75 -
TRINITY_DN4323_c0_g2_i1:304-990    -            229 4975at3041           -            302   3.3e-12   44.6   0.1   1   1   1.2e-13     2e-11   42.0   0.1    34   180    57   227    50   229 0.73 -
TRINITY_DN5660_c0_g2_i1:2-1093     -            364 4975at3041           -            302     2e-10   38.8   0.1   1   1   3.2e-12   5.5e-10   37.3   0.1    34   227    72   283    63   300 0.72 -
TRINITY_DN85409_c0_g1_i1:114-947   -            278 4975at3041           -            302   5.8e-10   37.2   0.0   1   1   9.4e-12   1.6e-09   35.8   0.0    27   207    65   273    46   278 0.69 -
