# BUSCO version is: 5.3.1 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Duplicated	TRINITY_DN2314_c0_g1_i3:223-7054	4089.8	1917	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
15at3041	Duplicated	TRINITY_DN2314_c0_g1_i5:223-6873	4089.8	1917	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Duplicated	TRINITY_DN1687_c0_g1_i1:113-3940	2157.5	1108	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
42at3041	Duplicated	TRINITY_DN1687_c0_g1_i5:122-4315	2216.6	1148	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Fragmented	TRINITY_DN2304_c0_g1_i2:21-515	317.6	151	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	TRINITY_DN1720_c0_g1_i4:96-5114	2440.2	1428	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Missing
66at3041	Fragmented	TRINITY_DN26195_c0_g1_i1:17-412	116.2	109	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Fragmented	TRINITY_DN130_c0_g3_i1:23-1345	602.2	330	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	TRINITY_DN15434_c0_g1_i1:16-2409	1068.2	610	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	TRINITY_DN3286_c0_g1_i2:689-4192	1653.5	909	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Missing
106at3041	Complete	TRINITY_DN5953_c0_g2_i2:70-4272	1802.8	1095	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	TRINITY_DN4104_c0_g1_i2:19-852	629.2	270	https://www.orthodb.org/v10?query=117at3041	Midasin
