#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN12347_c0_g1_i2:86-607  -            174 5588at3041           -            141   2.2e-54  180.0   0.2   1   2   2.3e-52     2e-50  167.2   0.1     2   118    18   137    17   148 0.95 -
TRINITY_DN12347_c0_g1_i2:86-607  -            174 5588at3041           -            141   2.2e-54  180.0   0.2   2   2   0.00025     0.022   11.5   0.0   114   133   155   174   138   174 0.86 -
TRINITY_DN409_c0_g1_i6:176-718   -            181 5588at3041           -            141   4.2e-47  156.4   0.2   1   2   2.4e-46   2.1e-44  147.7   0.1     1   125    18   145    18   159 0.91 -
TRINITY_DN409_c0_g1_i6:176-718   -            181 5588at3041           -            141   4.2e-47  156.4   0.2   2   2    0.0048      0.42    7.3   0.0   117   137   159   179   154   181 0.87 -
TRINITY_DN409_c0_g1_i3:176-640   -            155 5588at3041           -            141   1.4e-44  148.3   0.1   1   1   1.7e-46   1.5e-44  148.1   0.1     1   122    18   142    18   155 0.92 -
TRINITY_DN409_c0_g1_i2:41-583    -            159 5588at3041           -            141   3.5e-44  147.0   0.1   1   2   2.1e-43   1.8e-41  138.2   0.1     6   126     1   124     1   138 0.90 -
TRINITY_DN409_c0_g1_i2:41-583    -            159 5588at3041           -            141   3.5e-44  147.0   0.1   2   2    0.0039      0.34    7.6   0.0   117   137   137   157   131   159 0.87 -
TRINITY_DN34502_c0_g1_i1:1-315   -            105 5588at3041           -            141   1.5e-35  119.0   0.0   1   1   1.9e-37   1.6e-35  118.9   0.0    10   110     1   104     1   105 0.95 -
TRINITY_DN39957_c0_g1_i1:21-482  -            154 5588at3041           -            141   7.2e-31  103.8   0.0   1   1   9.8e-33   8.5e-31  103.6   0.0     3   124    15   140    13   151 0.90 -
TRINITY_DN1289_c0_g1_i2:492-776  -             95 5588at3041           -            141   4.8e-30  101.2   0.6   1   2     2e-21   1.8e-19   66.9   0.1    71   118     1    48     1    54 0.94 -
TRINITY_DN1289_c0_g1_i2:492-776  -             95 5588at3041           -            141   4.8e-30  101.2   0.6   2   2   5.1e-11   4.5e-09   33.2   0.0   113   141    65    93    50    93 0.89 -
TRINITY_DN35040_c0_g1_i1:3-359   -            119 5588at3041           -            141   7.5e-28   94.0   0.0   1   1   1.1e-29   9.6e-28   93.7   0.0     2   108     3   119     2   119 0.88 -
TRINITY_DN8893_c0_g1_i1:761-1336 -            192 5588at3041           -            141   1.6e-26   89.7   0.0   1   2   4.7e-27   4.1e-25   85.2   0.0     2   114    22   137    21   151 0.93 -
TRINITY_DN8893_c0_g1_i1:761-1336 -            192 5588at3041           -            141   1.6e-26   89.7   0.0   2   2      0.11       9.1    3.0   0.0   113   134   169   190   139   192 0.86 -
TRINITY_DN409_c0_g1_i4:51-404    -            118 5588at3041           -            141   1.6e-25   86.5   0.0   1   2   5.9e-25   5.1e-23   78.4   0.0    53   125    13    85     7    98 0.90 -
TRINITY_DN409_c0_g1_i4:51-404    -            118 5588at3041           -            141   1.6e-25   86.5   0.0   2   2    0.0083      0.72    6.6   0.0   117   135    99   117    94   118 0.86 -
TRINITY_DN13116_c0_g1_i1:0-203   -             68 5588at3041           -            141   2.4e-21   73.0   0.2   1   1     3e-23   2.6e-21   72.9   0.2     1    65     1    68     1    68 0.94 -
TRINITY_DN12540_c0_g1_i1:26-370  -            115 5588at3041           -            141   1.1e-17   61.1   0.0   1   2   7.4e-19   6.5e-17   58.6   0.0    44   117     2    75     1    89 0.92 -
TRINITY_DN12540_c0_g1_i1:26-370  -            115 5588at3041           -            141   1.1e-17   61.1   0.0   2   2      0.45        39    1.0   0.0   117   133    97   113    78   115 0.81 -
TRINITY_DN13116_c0_g2_i1:5-301   -             99 5588at3041           -            141   1.3e-17   60.8   0.0   1   2     2e-17   1.7e-15   54.0   0.0    61   121     1    61     1    78 0.90 -
TRINITY_DN13116_c0_g2_i1:5-301   -             99 5588at3041           -            141   1.3e-17   60.8   0.0   2   2     0.014       1.2    5.9   0.0   116   135    78    97    60    99 0.83 -
TRINITY_DN14657_c0_g1_i2:1-252   -             84 5588at3041           -            141   1.1e-16   57.9   0.1   1   1   1.4e-18   1.2e-16   57.7   0.1    61   133     1    76     1    81 0.89 -
