#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN2379_c0_g1_i1:133-297 -             55 3911at3041           -            246   1.8e-37  125.5   1.3   1   1   9.6e-40     2e-37  125.4   1.3    25    79     1    55     1    55 0.99 -
TRINITY_DN1918_c0_g1_i1:231-728 -            166 3911at3041           -            246    0.0002   17.3   0.1   1   2    0.0076       1.6    4.6   0.0   188   234     4    66     1    83 0.56 -
TRINITY_DN1918_c0_g1_i1:231-728 -            166 3911at3041           -            246    0.0002   17.3   0.1   2   2   8.3e-05     0.017   11.0   0.1   196   240   108   159    82   164 0.74 -
TRINITY_DN1918_c0_g1_i2:231-728 -            166 3911at3041           -            246    0.0002   17.3   0.1   1   2    0.0076       1.6    4.6   0.0   188   234     4    66     1    83 0.56 -
TRINITY_DN1918_c0_g1_i2:231-728 -            166 3911at3041           -            246    0.0002   17.3   0.1   2   2   8.3e-05     0.017   11.0   0.1   196   240   108   159    82   164 0.74 -
TRINITY_DN1918_c0_g1_i3:231-728 -            166 3911at3041           -            246    0.0002   17.3   0.1   1   2    0.0076       1.6    4.6   0.0   188   234     4    66     1    83 0.56 -
TRINITY_DN1918_c0_g1_i3:231-728 -            166 3911at3041           -            246    0.0002   17.3   0.1   2   2   8.3e-05     0.017   11.0   0.1   196   240   108   159    82   164 0.74 -
TRINITY_DN2371_c0_g1_i2:212-436 -             75 3911at3041           -            246    0.0021   13.9   0.0   1   1   1.1e-05    0.0023   13.8   0.0   195   241    16    70     1    74 0.63 -
TRINITY_DN14899_c0_g1_i1:88-330 -             81 3911at3041           -            246    0.0035   13.2   0.0   1   1     2e-05    0.0041   13.0   0.0   187   239    10    69     3    75 0.82 -
TRINITY_DN608_c0_g1_i1:544-1383 -            280 3911at3041           -            246     0.005   12.7   0.0   1   2      0.54   1.1e+02   -1.5   0.0   179   225    23    68    20    79 0.79 -
TRINITY_DN608_c0_g1_i1:544-1383 -            280 3911at3041           -            246     0.005   12.7   0.0   2   2   8.4e-05     0.017   11.0   0.0   178   238   195   265   190   275 0.73 -
TRINITY_DN25836_c0_g1_i1:1-231  -             77 3911at3041           -            246     0.015   11.2   0.0   1   1   7.9e-05     0.016   11.1   0.0   186   229    17    73     8    77 0.59 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/3911at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Pal/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg12Pal.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Pal/run_chlorophyta_odb10/hmmer_output/initial_run_results/3911at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/3911at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Pal/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg12Pal.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:11:56 2022
# [ok]
