#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN9507_c0_g1_i2:77-499 -            141 6111at3041           -            181   1.6e-43  145.0   0.0   1   1   9.8e-46   1.8e-43  144.8   0.0    16   139     2   131     1   140 0.92 -
TRINITY_DN14_c0_g1_i1:368-826  -            153 6111at3041           -            181   3.1e-24   82.1   0.0   1   1   2.5e-26   4.5e-24   81.6   0.0    22   139     2   135     1   150 0.81 -
TRINITY_DN14_c0_g2_i1:345-785  -            147 6111at3041           -            181   1.8e-22   76.4   0.1   1   1   1.2e-24   2.1e-22   76.2   0.1    24   134     3   124     1   132 0.84 -
TRINITY_DN6987_c0_g1_i1:50-382 -            111 6111at3041           -            181   9.7e-21   70.7   0.1   1   1   5.9e-23   1.1e-20   70.6   0.1    54   140     1    93     1   109 0.83 -
TRINITY_DN6987_c0_g1_i2:3-287  -             95 6111at3041           -            181     3e-20   69.2   0.0   1   1     2e-22   3.6e-20   68.9   0.0    54   137     1    92     1    94 0.84 -
TRINITY_DN9507_c0_g1_i1:59-340 -             94 6111at3041           -            181   7.6e-20   67.8   0.0   1   1   4.9e-22   8.9e-20   67.6   0.0    68   151     1    91     1    93 0.86 -
TRINITY_DN14_c1_g1_i1:191-448  -             86 6111at3041           -            181   3.1e-15   52.8   0.1   1   1   1.8e-17   3.3e-15   52.7   0.1    26   101     4    86     1    86 0.87 -
TRINITY_DN4326_c0_g1_i1:15-311 -             99 6111at3041           -            181   3.8e-07   26.4   0.0   1   1   2.2e-09     4e-07   26.4   0.0    88   139    22    75     1    87 0.77 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/6111at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Sin/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg12Sin.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Sin/run_chlorophyta_odb10/hmmer_output/rerun_results/6111at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/6111at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Sin/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg12Sin.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:13:15 2022
# [ok]
