#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN2023_c0_g1_i10:1823-3166 -            448 4904at3041           -            289   1.2e-30  103.5   3.7   1   3   3.3e-22   8.7e-20   67.9   0.0    10   146     8   158     1   186 0.74 -
TRINITY_DN2023_c0_g1_i10:1823-3166 -            448 4904at3041           -            289   1.2e-30  103.5   3.7   2   3      0.45   1.2e+02   -1.5   0.0   128   145   233   250   227   274 0.66 -
TRINITY_DN2023_c0_g1_i10:1823-3166 -            448 4904at3041           -            289   1.2e-30  103.5   3.7   3   3     2e-12   5.4e-10   35.8   0.5   191   275   355   438   320   448 0.83 -
TRINITY_DN2023_c0_g1_i5:2950-4293  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   1   3   3.3e-22   8.7e-20   67.9   0.0    10   146     8   158     1   186 0.74 -
TRINITY_DN2023_c0_g1_i5:2950-4293  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   2   3      0.45   1.2e+02   -1.5   0.0   128   145   233   250   227   274 0.66 -
TRINITY_DN2023_c0_g1_i5:2950-4293  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   3   3     2e-12   5.4e-10   35.8   0.5   191   275   355   438   320   448 0.83 -
TRINITY_DN2023_c0_g1_i7:2950-4293  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   1   3   3.3e-22   8.7e-20   67.9   0.0    10   146     8   158     1   186 0.74 -
TRINITY_DN2023_c0_g1_i7:2950-4293  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   2   3      0.45   1.2e+02   -1.5   0.0   128   145   233   250   227   274 0.66 -
TRINITY_DN2023_c0_g1_i7:2950-4293  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   3   3     2e-12   5.4e-10   35.8   0.5   191   275   355   438   320   448 0.83 -
TRINITY_DN2023_c0_g1_i9:1823-3166  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   1   3   3.3e-22   8.7e-20   67.9   0.0    10   146     8   158     1   186 0.74 -
TRINITY_DN2023_c0_g1_i9:1823-3166  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   2   3      0.45   1.2e+02   -1.5   0.0   128   145   233   250   227   274 0.66 -
TRINITY_DN2023_c0_g1_i9:1823-3166  -            448 4904at3041           -            289   1.2e-30  103.5   3.7   3   3     2e-12   5.4e-10   35.8   0.5   191   275   355   438   320   448 0.83 -
TRINITY_DN4384_c0_g1_i2:1068-1991  -            308 4904at3041           -            289     8e-21   71.3   0.4   1   2   1.3e-21   3.3e-19   66.0   0.0    10   143     2   149     1   196 0.77 -
TRINITY_DN4384_c0_g1_i2:1068-1991  -            308 4904at3041           -            289     8e-21   71.3   0.4   2   2     0.011       2.8    3.8   0.1   126   148   228   250   189   282 0.83 -
TRINITY_DN4384_c0_g1_i1:1067-2113  -            349 4904at3041           -            289   1.4e-20   70.5   0.4   1   2   1.9e-21   4.9e-19   65.4   0.0    10   143     2   149     1   185 0.76 -
TRINITY_DN4384_c0_g1_i1:1067-2113  -            349 4904at3041           -            289   1.4e-20   70.5   0.4   2   2     0.015         4    3.4   0.1   126   147   228   249   192   279 0.86 -
TRINITY_DN2023_c0_g1_i4:113-676    -            188 4904at3041           -            289   1.6e-20   70.3   0.0   1   1   6.6e-23   1.7e-20   70.2   0.0    11   147     2   152     1   179 0.75 -
TRINITY_DN2023_c0_g1_i12:1655-2341 -            229 4904at3041           -            289   6.5e-11   38.8   1.4   1   2      0.17        45   -0.1   0.0   128   156    17    51    10    59 0.67 -
TRINITY_DN2023_c0_g1_i12:1655-2341 -            229 4904at3041           -            289   6.5e-11   38.8   1.4   2   2   6.5e-13   1.7e-10   37.4   0.4   190   274   138   221   102   228 0.83 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/4904at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Mul/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg10Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Mul/run_chlorophyta_odb10/hmmer_output/rerun_results/4904at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/4904at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Mul/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg10Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:14:05 2022
# [ok]
