#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN296_c0_g2_i2:97-1347  -            417 5422at3041           -            330  4.6e-115  381.6  16.6   1   3   1.8e-07   0.00011   18.8   0.1     1    44     1    49     1    62 0.77 -
TRINITY_DN296_c0_g2_i2:97-1347  -            417 5422at3041           -            330  4.6e-115  381.6  16.6   2   3  1.2e-106  7.5e-104  344.7  10.1    59   311   108   379    64   385 0.90 -
TRINITY_DN296_c0_g2_i2:97-1347  -            417 5422at3041           -            330  4.6e-115  381.6  16.6   3   3   2.1e-07   0.00013   18.5   0.0   305   328   394   417   386   417 0.83 -
TRINITY_DN296_c0_g2_i1:163-1407 -            415 5422at3041           -            330  1.6e-114  379.8  16.3   1   3   1.8e-07   0.00011   18.8   0.1     1    44     1    49     1    62 0.77 -
TRINITY_DN296_c0_g2_i1:163-1407 -            415 5422at3041           -            330  1.6e-114  379.8  16.3   2   3  1.2e-106  7.4e-104  344.8  10.1    59   311   108   379    64   385 0.90 -
TRINITY_DN296_c0_g2_i1:163-1407 -            415 5422at3041           -            330  1.6e-114  379.8  16.3   3   3   9.6e-07    0.0006   16.4   0.0   305   326   394   415   386   415 0.82 -
TRINITY_DN16328_c0_g1_i1:8-577  -            190 5422at3041           -            330   1.1e-44  150.3   0.3   1   1     2e-47   1.3e-44  150.1   0.3   148   308     1   177     1   180 0.91 -
TRINITY_DN38535_c0_g1_i1:58-627 -            190 5422at3041           -            330   6.8e-12   42.5   3.1   1   2   2.6e-11   1.6e-08   31.4   0.3   188   307     1   134     1   149 0.84 -
TRINITY_DN38535_c0_g1_i1:58-627 -            190 5422at3041           -            330   6.8e-12   42.5   3.1   2   2   1.9e-05     0.012   12.1   0.2   313   328   169   184   151   186 0.83 -
TRINITY_DN21602_c0_g1_i1:3-668  -            222 5422at3041           -            330   1.6e-06   24.9   0.7   1   1   3.6e-09   2.3e-06   24.3   0.7   117   154    83   120    66   144 0.85 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/5422at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg03Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/hmmer_output/initial_run_results/5422at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/5422at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg03Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:11:33 2022
# [ok]
