#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN45_c0_g1_i14:1040-2737    -            566 2505at3041           -            507    3e-104  345.8   7.3   1   1  1.6e-104  4.6e-103  341.9   7.3    10   474    21   530    15   539 0.87 -
TRINITY_DN6927_c0_g3_i1:34-732      -            233 2505at3041           -            507   1.9e-50  168.3   0.2   1   1   4.1e-51   1.2e-49  165.7   0.2    15   219     1   226     1   230 0.83 -
TRINITY_DN8108_c0_g1_i1:26-526      -            167 2505at3041           -            507   1.4e-38  129.1   0.0   1   1   5.8e-40   1.7e-38  128.9   0.0    33   188     1   167     1   167 0.87 -
TRINITY_DN6927_c0_g1_i2:0-587       -            196 2505at3041           -            507   1.4e-36  122.6   0.1   1   2   2.7e-10   7.6e-09   31.0   0.0    14    58    17    61     6    67 0.90 -
TRINITY_DN6927_c0_g1_i2:0-587       -            196 2505at3041           -            507   1.4e-36  122.6   0.1   2   2     4e-28   1.1e-26   89.8   0.0    68   161    98   196    80   196 0.88 -
TRINITY_DN17945_c0_g1_i1:125-418    -             98 2505at3041           -            507     9e-31  103.4   0.0   1   1   3.4e-32   9.7e-31  103.3   0.0   131   216     1    86     1    97 0.96 -
TRINITY_DN6930_c0_g1_i1:539-1510    -            324 2505at3041           -            507   9.6e-18   60.4   2.0   1   2   0.00011    0.0032   12.5   0.0   197   231     1    38     1    91 0.74 -
TRINITY_DN6930_c0_g1_i1:539-1510    -            324 2505at3041           -            507   9.6e-18   60.4   2.0   2   2     5e-15   1.4e-13   46.6   1.1   337   471   188   322   180   324 0.95 -
TRINITY_DN13844_c0_g1_i14:835-1509  -            225 2505at3041           -            507   2.4e-17   59.1   0.2   1   1   1.1e-18   3.1e-17   58.7   0.2    16   214    17   222    10   224 0.77 -
TRINITY_DN13844_c0_g1_i15:1537-2211 -            225 2505at3041           -            507   2.4e-17   59.1   0.2   1   1   1.1e-18   3.1e-17   58.7   0.2    16   214    17   222    10   224 0.77 -
