#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN372_c0_g2_i1:734-2656  -            641 1462at3041           -            526  1.6e-178  591.7   0.2   1   1  4.7e-179  1.3e-176  585.4   0.2     3   525    13   641    11   641 0.85 -
TRINITY_DN372_c0_g1_i8:4-1695    -            564 1462at3041           -            526  3.3e-178  590.6   0.3   1   1  2.4e-179  6.4e-177  586.4   0.3     1   467     8   564     8   564 0.86 -
TRINITY_DN372_c0_g1_i2:4-1704    -            567 1462at3041           -            526  3.3e-178  590.6   0.3   1   1  2.4e-179  6.5e-177  586.4   0.3     1   467    11   567    11   567 0.86 -
TRINITY_DN372_c0_g1_i5:7-1536    -            510 1462at3041           -            526  2.3e-164  545.0   0.3   1   1    2e-165  5.4e-163  540.4   0.3    42   466     5   510     4   510 0.85 -
TRINITY_DN372_c0_g2_i2:172-1464  -            431 1462at3041           -            526  7.8e-152  503.6   0.0   1   1  3.8e-154    1e-151  503.2   0.0     3   371    13   430    11   431 0.89 -
TRINITY_DN1350_c0_g1_i1:411-998  -            196 1462at3041           -            526   3.8e-06   22.9   0.0   1   1   1.7e-08   4.5e-06   22.6   0.0   195   301    47   152    25   168 0.82 -
TRINITY_DN1350_c0_g1_i2:405-1034 -            210 1462at3041           -            526   4.5e-06   22.6   0.0   1   1     2e-08   5.5e-06   22.3   0.0   195   301    59   164    37   180 0.82 -
TRINITY_DN1350_c0_g1_i4:405-1034 -            210 1462at3041           -            526   4.5e-06   22.6   0.0   1   1     2e-08   5.5e-06   22.3   0.0   195   301    59   164    37   180 0.82 -
TRINITY_DN1350_c0_g1_i3:402-1706 -            435 1462at3041           -            526   7.5e-06   21.9   0.0   1   1   4.2e-08   1.1e-05   21.3   0.0   192   301   280   388   190   402 0.74 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1462at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Sin/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg11Sin.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Sin/run_chlorophyta_odb10/hmmer_output/initial_run_results/1462at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/1462at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg11Sin/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg11Sin.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:01 2022
# [ok]
