#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN379_c0_g1_i1:38-1528    -            497 2014at3041           -            405  1.7e-209  693.3  23.6   1   2   9.6e-37   2.7e-34  116.2   3.3     1    62    34    95    34    99 0.98 -
TRINITY_DN379_c0_g1_i1:38-1528    -            497 2014at3041           -            405  1.7e-209  693.3  23.6   2   2    2e-178  5.6e-176  582.9  12.4    53   402   107   490   100   497 0.91 -
TRINITY_DN379_c0_g1_i3:12-1382    -            457 2014at3041           -            405  3.3e-171  567.2  20.2   1   1  7.3e-171  2.1e-168  557.9  20.2     1   400     1   450     1   455 0.90 -
TRINITY_DN379_c0_g2_i1:4-1314     -            437 2014at3041           -            405  4.2e-147  487.8  16.5   1   2   6.4e-32   1.8e-29  100.3   0.5     1    62     1    62     1    72 0.94 -
TRINITY_DN379_c0_g2_i1:4-1314     -            437 2014at3041           -            405  4.2e-147  487.8  16.5   2   2  2.2e-120  6.3e-118  391.7   9.8    61   385    82   437    75   437 0.92 -
TRINITY_DN9829_c0_g1_i2:185-1663  -            493 2014at3041           -            405   7.4e-78  259.7  11.7   1   1   9.5e-76   2.7e-73  244.7  11.7     1   396    25   493    25   493 0.78 -
TRINITY_DN4407_c0_g1_i1:15-1316   -            434 2014at3041           -            405     1e-52  176.9   7.6   1   1   2.4e-53   6.7e-51  170.9   7.6     1   392     1   434     1   434 0.83 -
TRINITY_DN4450_c0_g1_i2:72-1661   -            530 2014at3041           -            405   2.7e-42  142.6   8.6   1   2   4.4e-23   1.3e-20   71.2   2.8     1   249     1   302     1   305 0.69 -
TRINITY_DN4450_c0_g1_i2:72-1661   -            530 2014at3041           -            405   2.7e-42  142.6   8.6   2   2   5.9e-22   1.7e-19   67.5   0.3   219   392   330   530   321   530 0.78 -
TRINITY_DN6569_c0_g1_i1:60-941    -            294 2014at3041           -            405   1.6e-27   94.0   0.1   1   1   7.6e-30   2.2e-27   93.5   0.1   134   392     3   294     1   294 0.77 -
TRINITY_DN4450_c0_g1_i1:376-1290  -            305 2014at3041           -            405   1.2e-23   81.2   3.4   1   1   1.1e-23   3.2e-21   73.2   3.4     1   249     1   302     1   304 0.69 -
TRINITY_DN11450_c0_g1_i1:0-770    -            257 2014at3041           -            405   9.4e-14   48.6   0.0   1   1   1.3e-15   3.6e-13   46.7   0.0    78   299     4   257     1   257 0.71 -
TRINITY_DN2685_c0_g1_i2:347-1159  -            271 2014at3041           -            405   3.4e-05   20.4   2.0   1   2     0.027       7.7    2.8   0.0   146   173     2    28     1    56 0.74 -
TRINITY_DN2685_c0_g1_i2:347-1159  -            271 2014at3041           -            405   3.4e-05   20.4   2.0   2   2   2.1e-06   0.00059   16.3   0.4   142   250   129   253    78   266 0.77 -
TRINITY_DN18131_c0_g1_i1:174-1043 -            290 2014at3041           -            405   6.8e-05   19.4   0.3   1   2   8.2e-05     0.023   11.1   0.0     1    39     3    41     3    56 0.94 -
TRINITY_DN18131_c0_g1_i1:174-1043 -            290 2014at3041           -            405   6.8e-05   19.4   0.3   2   2    0.0061       1.7    4.9   0.0   103   178   102   183    91   290 0.60 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/2014at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg03Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/hmmer_output/initial_run_results/2014at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/2014at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg03Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:11:27 2022
# [ok]
