#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN3108_c0_g1_i3:147-3383 -           1079 142at3041            -            914         0 1629.2  17.4   1   2  1.4e-160  9.5e-158  524.0   5.6    12   319    35   372    30   375 0.92 -
TRINITY_DN3108_c0_g1_i3:147-3383 -           1079 142at3041            -            914         0 1629.2  17.4   2   2         0         0 1111.0   3.9   320   903   404  1035   397  1044 0.94 -
TRINITY_DN3108_c0_g1_i6:147-3383 -           1079 142at3041            -            914         0 1629.2  17.4   1   2  1.4e-160  9.5e-158  524.0   5.6    12   319    35   372    30   375 0.92 -
TRINITY_DN3108_c0_g1_i6:147-3383 -           1079 142at3041            -            914         0 1629.2  17.4   2   2         0         0 1111.0   3.9   320   903   404  1035   397  1044 0.94 -
TRINITY_DN3108_c0_g1_i1:147-2957 -            937 142at3041            -            914         0 1521.5  15.7   1   2  1.1e-160  7.1e-158  524.4   5.6    12   319    35   372    30   375 0.92 -
TRINITY_DN3108_c0_g1_i1:147-2957 -            937 142at3041            -            914         0 1521.5  15.7   2   2  2.9e-305  1.9e-302 1002.8   2.4   320   824   404   933   397   937 0.96 -
TRINITY_DN3108_c0_g1_i2:210-2486 -            759 142at3041            -            914         0 1166.4   6.9   1   2     8e-19   5.3e-16   54.9   0.0   276   319     3    52     1    55 0.83 -
TRINITY_DN3108_c0_g1_i2:210-2486 -            759 142at3041            -            914         0 1166.4   6.9   2   2         0         0 1112.6   3.9   320   903    84   715    77   724 0.94 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/142at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg12Mul.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Mul/run_chlorophyta_odb10/hmmer_output/initial_run_results/142at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/142at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg12Mul/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg12Mul.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:06 2022
# [ok]
