# BUSCO version is: 5.3.1 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Duplicated	TRINITY_DN1834_c0_g2_i10:14-7090	4222.1	2009	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
15at3041	Duplicated	TRINITY_DN1834_c0_g2_i2:187-6837	4089.8	1917	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Duplicated	TRINITY_DN3368_c0_g1_i3:54-3587	2036.5	1035	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
42at3041	Duplicated	TRINITY_DN3368_c0_g1_i7:88-3318	1884.9	954	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Missing
52at3041	Complete	TRINITY_DN4502_c0_g1_i1:126-5117	2441.4	1428	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	TRINITY_DN20345_c0_g1_i1:81-356	202.9	91	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Fragmented	TRINITY_DN3290_c0_g1_i2:235-714	161.1	137	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Missing
91at3041	Complete	TRINITY_DN162_c0_g2_i1:1-1473	712.0	415	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	TRINITY_DN38204_c0_g1_i1:641-4144	1653.5	909	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Missing
106at3041	Duplicated	TRINITY_DN4041_c0_g1_i3:117-4319	1802.8	1095	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
106at3041	Duplicated	TRINITY_DN4041_c0_g1_i5:114-3734	1689.4	1010	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	TRINITY_DN3665_c0_g1_i1:8-802	605.2	257	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	TRINITY_DN15955_c0_g1_i1:72-680	159.0	147	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Fragmented	TRINITY_DN7279_c0_g1_i1:31-1272	744.5	389	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Duplicated	TRINITY_DN2655_c0_g1_i1:683-4384	1205.6	806	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
126at3041	Duplicated	TRINITY_DN2655_c0_g1_i3:683-4490	1205.6	806	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
126at3041	Duplicated	TRINITY_DN2655_c0_g1_i4:683-4532	1202.9	806	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	TRINITY_DN3941_c0_g1_i1:2-2737	1469.0	731	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Duplicated	TRINITY_DN3108_c0_g1_i1:147-2957	1521.5	811	https://www.orthodb.org/v10?query=142at3041	Exportin-1
142at3041	Duplicated	TRINITY_DN3108_c0_g1_i3:147-3383	1629.2	890	https://www.orthodb.org/v10?query=142at3041	Exportin-1
142at3041	Duplicated	TRINITY_DN3108_c0_g1_i6:147-3383	1629.2	890	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Missing
144at3041	Missing
155at3041	Complete	TRINITY_DN1521_c0_g1_i2:33-1499	659.1	362	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	TRINITY_DN374_c0_g4_i2:416-2872	1397.2	675	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	TRINITY_DN8289_c0_g1_i1:61-711	365.9	201	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Fragmented	TRINITY_DN39509_c0_g1_i1:0-875	524.6	280	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	TRINITY_DN205_c0_g1_i6:543-3197	1346.9	703	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
