#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN24717_c0_g2_i1:0-440     -            147 4023at3041           -            169   1.8e-47  160.3   3.4   1   1   6.1e-50   3.9e-47  159.2   3.4     1   116     1   147     1   147 0.86 -
TRINITY_DN222_c0_g1_i2:29-601      -            191 4023at3041           -            169   1.8e-31  108.2   0.5   1   1   3.6e-34   2.3e-31  107.8   0.5     1   166     2   191     2   191 0.82 -
TRINITY_DN222_c0_g1_i3:43-615      -            191 4023at3041           -            169   4.2e-31  107.0   0.4   1   1   8.6e-34   5.4e-31  106.6   0.4     1   166     2   191     2   191 0.82 -
TRINITY_DN23924_c0_g2_i3:833-1387  -            185 4023at3041           -            169   4.5e-30  103.6   1.0   1   1   1.5e-32   9.4e-30  102.6   1.0     3   159     1   185     1   185 0.78 -
TRINITY_DN23924_c0_g2_i4:1639-2193 -            185 4023at3041           -            169   4.5e-30  103.6   1.0   1   1   1.5e-32   9.4e-30  102.6   1.0     3   159     1   185     1   185 0.78 -
TRINITY_DN23924_c0_g2_i5:1567-2121 -            185 4023at3041           -            169   4.5e-30  103.6   1.0   1   1   1.5e-32   9.4e-30  102.6   1.0     3   159     1   185     1   185 0.78 -
TRINITY_DN16118_c0_g1_i1:3-440     -            146 4023at3041           -            169   1.3e-21   76.1   0.1   1   1   2.6e-24   1.7e-21   75.8   0.1     1   127     2   146     2   146 0.81 -
TRINITY_DN23924_c0_g4_i1:2-418     -            139 4023at3041           -            169   6.7e-17   60.8   0.9   1   1   2.5e-19   1.6e-16   59.5   0.9     2   115     4   139     3   139 0.74 -
TRINITY_DN8709_c0_g1_i3:37-606     -            190 4023at3041           -            169   1.5e-10   40.1   0.0   1   1   3.5e-13   2.2e-10   39.5   0.0    55   133    80   158    70   190 0.78 -
TRINITY_DN10376_c0_g3_i2:1159-1566 -            136 4023at3041           -            169     3e-10   39.1   0.5   1   1   1.7e-12   1.1e-09   37.3   0.5     2   114     3   136     2   136 0.73 -
TRINITY_DN32754_c0_g1_i1:4-318     -            105 4023at3041           -            169   2.7e-08   32.8   0.1   1   1   4.5e-11   2.8e-08   32.7   0.1    55   115    45   105    14   105 0.83 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/4023at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Sin/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg10Sin.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Sin/run_chlorophyta_odb10/hmmer_output/initial_run_results/4023at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/4023at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg10Sin/run_chlorophyta_odb10/metaeuk_output/initial_results/trinity_VA-3180-Osg10Sin.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:46 2022
# [ok]
