#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN704_c0_g4_i3:4-1134    -            377 652at3041            -            580   1.8e-57  191.7   0.3   1   2   3.7e-15   1.9e-13   46.4   0.0     3    71     4    72     2    77 0.93 -
TRINITY_DN704_c0_g4_i3:4-1134    -            377 652at3041            -            580   1.8e-57  191.7   0.3   2   2   2.1e-43   1.1e-41  139.6   0.1   224   488   119   357    66   363 0.79 -
TRINITY_DN704_c0_g5_i1:6-1223    -            406 652at3041            -            580   1.2e-50  169.2   0.2   1   3   3.2e-10   1.7e-08   30.1   0.0     3    61    40    98    38   108 0.84 -
TRINITY_DN704_c0_g5_i1:6-1223    -            406 652at3041            -            580   1.2e-50  169.2   0.2   2   3   4.7e-17   2.4e-15   52.7   0.0   222   315   154   244    97   266 0.78 -
TRINITY_DN704_c0_g5_i1:6-1223    -            406 652at3041            -            580   1.2e-50  169.2   0.2   3   3   2.8e-26   1.4e-24   83.1   0.0   363   485   272   388   252   394 0.87 -
TRINITY_DN6706_c0_g1_i1:58-1245  -            396 652at3041            -            580   2.5e-50  168.2   0.9   1   3   4.4e-12   2.3e-10   36.2   0.0     6    62     5    61     2    74 0.92 -
TRINITY_DN6706_c0_g1_i1:58-1245  -            396 652at3041            -            580   2.5e-50  168.2   0.9   2   3   6.2e-19   3.2e-17   58.9   0.0   197   283    75   179    70   202 0.78 -
TRINITY_DN6706_c0_g1_i1:58-1245  -            396 652at3041            -            580   2.5e-50  168.2   0.9   3   3   4.3e-20   2.2e-18   62.7   0.1   288   486   218   393   209   396 0.83 -
TRINITY_DN78_c1_g1_i1:189-1388   -            400 652at3041            -            580   2.2e-49  165.1   6.1   1   3     8e-10   4.1e-08   28.8   0.0     3    68    28    93    26    97 0.94 -
TRINITY_DN78_c1_g1_i1:189-1388   -            400 652at3041            -            580   2.2e-49  165.1   6.1   2   3   1.1e-18   5.7e-17   58.0   0.4   198   338    94   251    90   256 0.78 -
TRINITY_DN78_c1_g1_i1:189-1388   -            400 652at3041            -            580   2.2e-49  165.1   6.1   3   3   3.2e-25   1.6e-23   79.6   0.2   364   488   256   373   250   379 0.92 -
TRINITY_DN908_c0_g1_i3:401-1705  -            435 652at3041            -            580     1e-48  162.9   1.8   1   3   7.9e-14   4.1e-12   42.0   0.0     3    63    41   101    39   123 0.95 -
TRINITY_DN908_c0_g1_i3:401-1705  -            435 652at3041            -            580     1e-48  162.9   1.8   2   3   4.3e-17   2.2e-15   52.8   0.1   224   335   153   266   142   271 0.76 -
TRINITY_DN908_c0_g1_i3:401-1705  -            435 652at3041            -            580     1e-48  162.9   1.8   3   3   2.1e-21   1.1e-19   67.0   0.2   360   488   268   402   253   408 0.85 -
TRINITY_DN704_c0_g4_i1:4-1086    -            361 652at3041            -            580   2.4e-47  158.3   0.7   1   2   4.9e-05    0.0025   13.0   0.0    36    71    21    56    14    60 0.88 -
TRINITY_DN704_c0_g4_i1:4-1086    -            361 652at3041            -            580   2.4e-47  158.3   0.7   2   2     2e-43     1e-41  139.7   0.2   224   488   103   341    54   347 0.79 -
TRINITY_DN624_c0_g5_i1:496-1485  -            330 652at3041            -            580   5.4e-47  157.2   6.5   1   2   3.7e-13   1.9e-11   39.8   0.1    22    63     1    42     1    46 0.94 -
TRINITY_DN624_c0_g5_i1:496-1485  -            330 652at3041            -            580   5.4e-47  157.2   6.5   2   2   3.4e-34   1.7e-32  109.3   3.2   200   479    55   330    50   330 0.77 -
TRINITY_DN78_c1_g2_i1:590-1909   -            440 652at3041            -            580   6.9e-45  150.2   2.0   1   3   6.4e-08   3.3e-06   22.5   0.0     3    62    68   127    66   133 0.94 -
TRINITY_DN78_c1_g2_i1:590-1909   -            440 652at3041            -            580   6.9e-45  150.2   2.0   2   3   1.2e-19   6.2e-18   61.2   0.1   200   338   136   291   128   296 0.79 -
TRINITY_DN78_c1_g2_i1:590-1909   -            440 652at3041            -            580   6.9e-45  150.2   2.0   3   3   1.5e-20   7.7e-19   64.2   0.1   365   488   297   413   291   418 0.86 -
TRINITY_DN704_c0_g2_i1:4-1038    -            345 652at3041            -            580   4.5e-44  147.5   0.0   1   2   1.6e-19     8e-18   60.9   0.0   224   314    56   147     3   172 0.75 -
TRINITY_DN704_c0_g2_i1:4-1038    -            345 652at3041            -            580   4.5e-44  147.5   0.0   2   2   1.4e-26   7.4e-25   84.1   0.0   361   484   173   289   157   295 0.93 -
TRINITY_DN615_c0_g1_i1:6-1694    -            563 652at3041            -            580   1.3e-43  145.9   1.6   1   3   4.9e-06   0.00025   16.3   0.0    26    66   123   163   111   169 0.88 -
TRINITY_DN615_c0_g1_i1:6-1694    -            563 652at3041            -            580   1.3e-43  145.9   1.6   2   3   3.9e-23     2e-21   72.7   0.0   196   348   175   350   166   363 0.80 -
TRINITY_DN615_c0_g1_i1:6-1694    -            563 652at3041            -            580   1.3e-43  145.9   1.6   3   3     5e-17   2.5e-15   52.6   0.0   411   488   384   461   374   478 0.90 -
TRINITY_DN1190_c0_g1_i2:133-1356 -            408 652at3041            -            580   1.3e-35  119.6   0.6   1   3   7.1e-11   3.6e-09   32.3   0.0    21    65     1    45     1    55 0.89 -
TRINITY_DN1190_c0_g1_i2:133-1356 -            408 652at3041            -            580   1.3e-35  119.6   0.6   2   3   1.7e-13   8.8e-12   40.9   0.2   204   307    70   179    47   187 0.78 -
TRINITY_DN1190_c0_g1_i2:133-1356 -            408 652at3041            -            580   1.3e-35  119.6   0.6   3   3   3.1e-14   1.6e-12   43.3   0.0   412   483   259   331   253   349 0.87 -
TRINITY_DN624_c0_g5_i2:31-1161   -            377 652at3041            -            580   1.5e-34  116.1   0.6   1   2   3.6e-17   1.8e-15   53.1   0.0     3    63   137   197   135   201 0.96 -
TRINITY_DN624_c0_g5_i2:31-1161   -            377 652at3041            -            580   1.5e-34  116.1   0.6   2   2   2.7e-19   1.4e-17   60.1   0.2   200   316   210   344   205   369 0.74 -
TRINITY_DN5238_c0_g1_i1:82-720   -            213 652at3041            -            580   1.6e-29   99.5   1.8   1   2   8.2e-18   4.2e-16   55.2   0.0     2    62     5    65     4    70 0.95 -
TRINITY_DN5238_c0_g1_i1:82-720   -            213 652at3041            -            580   1.6e-29   99.5   1.8   2   2   3.3e-14   1.7e-12   43.3   0.4   210   307   101   201    72   210 0.73 -
TRINITY_DN908_c0_g1_i1:162-881   -            240 652at3041            -            580   3.1e-28   95.2   0.1   1   2   3.3e-14   1.7e-12   43.3   0.0     3    63    41   101    39   111 0.95 -
TRINITY_DN908_c0_g1_i1:162-881   -            240 652at3041            -            580   3.1e-28   95.2   0.1   2   2   2.3e-16   1.2e-14   50.4   0.0   224   308   153   236   107   240 0.81 -
TRINITY_DN704_c0_g3_i2:780-1142  -            121 652at3041            -            580   1.7e-25   86.2   0.1   1   1   3.6e-27   1.9e-25   86.1   0.1   390   484    33   120    16   121 0.84 -
TRINITY_DN27810_c0_g1_i1:3-620   -            206 652at3041            -            580   1.8e-25   86.1   0.4   1   2   1.1e-15   5.8e-14   48.1   0.0     4    64    35    95    32   100 0.95 -
TRINITY_DN27810_c0_g1_i1:3-620   -            206 652at3041            -            580   1.8e-25   86.1   0.4   2   2   1.5e-11   7.5e-10   34.5   0.3   202   275   104   196    97   204 0.71 -
TRINITY_DN704_c0_g3_i1:973-1338  -            122 652at3041            -            580   5.6e-25   84.5   0.1   1   1   1.2e-26   6.1e-25   84.3   0.1   390   483    33   119    16   122 0.83 -
TRINITY_DN2698_c0_g1_i1:2-874    -            291 652at3041            -            580   2.5e-23   79.0   0.0   1   2   1.4e-12   7.3e-11   37.9   0.0   191   305    11   145     5   177 0.78 -
TRINITY_DN2698_c0_g1_i1:2-874    -            291 652at3041            -            580   2.5e-23   79.0   0.0   2   2   2.3e-12   1.2e-10   37.2   0.0   363   470   182   291   151   291 0.78 -
TRINITY_DN11467_c0_g1_i1:340-966 -            209 652at3041            -            580   2.8e-22   75.6   0.0   1   2   3.1e-13   1.6e-11   40.1   0.0     3    62    14    74    12    81 0.91 -
TRINITY_DN11467_c0_g1_i1:340-966 -            209 652at3041            -            580   2.8e-22   75.6   0.0   2   2   3.7e-11   1.9e-09   33.2   0.0   200   296    86   208    78   209 0.70 -
TRINITY_DN624_c0_g4_i2:618-1277  -            220 652at3041            -            580   2.8e-22   75.6   0.5   1   2   1.7e-11   8.5e-10   34.3   0.0     4    64    64   122    62   132 0.85 -
TRINITY_DN624_c0_g4_i2:618-1277  -            220 652at3041            -            580   2.8e-22   75.6   0.5   2   2   1.1e-12   5.8e-11   38.2   0.1   197   265   133   220   122   220 0.75 -
TRINITY_DN624_c0_g4_i3:638-1297  -            220 652at3041            -            580   2.8e-22   75.6   0.5   1   2   1.7e-11   8.5e-10   34.3   0.0     4    64    64   122    62   132 0.85 -
TRINITY_DN624_c0_g4_i3:638-1297  -            220 652at3041            -            580   2.8e-22   75.6   0.5   2   2   1.1e-12   5.8e-11   38.2   0.1   197   265   133   220   122   220 0.75 -
TRINITY_DN2698_c0_g1_i2:2-706    -            235 652at3041            -            580   4.7e-21   71.5   0.0   1   1   7.6e-20   3.9e-18   61.9   0.0   225   470     8   235     3   235 0.77 -
TRINITY_DN908_c0_g1_i2:410-997   -            196 652at3041            -            580   7.7e-21   70.8   0.1   1   1   2.1e-22   1.1e-20   70.3   0.1   359   488    31   166     7   173 0.84 -
TRINITY_DN1990_c0_g1_i1:34-987   -            318 652at3041            -            580   9.7e-20   67.2   0.3   1   3   3.1e-09   1.6e-07   26.9   0.0    25    61     2    38     1    50 0.91 -
TRINITY_DN1990_c0_g1_i1:34-987   -            318 652at3041            -            580   9.7e-20   67.2   0.3   2   3   4.8e-10   2.5e-08   29.5   0.0   232   272   107   148    39   159 0.76 -
TRINITY_DN1990_c0_g1_i1:34-987   -            318 652at3041            -            580   9.7e-20   67.2   0.3   3   3    0.0036      0.18    6.8   0.0   287   339   218   272   207   302 0.73 -
TRINITY_DN704_c0_g1_i1:5-445     -            147 652at3041            -            580   1.7e-19   66.4   2.6   1   2   1.8e-13   9.4e-12   40.8   0.3    24    63     3    42     1    48 0.94 -
TRINITY_DN704_c0_g1_i1:5-445     -            147 652at3041            -            580   1.7e-19   66.4   2.6   2   2   7.6e-09   3.9e-07   25.6   0.1   202   270    52   142    42   147 0.68 -
TRINITY_DN19215_c0_g1_i1:4-519   -            172 652at3041            -            580   3.6e-19   65.3   0.3   1   2   1.4e-08   7.4e-07   24.6   0.0    25    62     3    40     1    53 0.92 -
TRINITY_DN19215_c0_g1_i1:4-519   -            172 652at3041            -            580   3.6e-19   65.3   0.3   2   2   1.1e-12   5.6e-11   38.3   0.1   215   296    84   170    49   172 0.69 -
TRINITY_DN1655_c0_g3_i1:0-578    -            193 652at3041            -            580   5.4e-15   51.5   0.0   1   2      0.64        33   -0.6   0.0   288   308     9    28     3    49 0.78 -
TRINITY_DN1655_c0_g3_i1:0-578    -            193 652at3041            -            580   5.4e-15   51.5   0.0   2   2   3.8e-16   1.9e-14   49.7   0.0   365   489    66   185    58   191 0.85 -
TRINITY_DN624_c0_g6_i1:26-298    -             91 652at3041            -            580     3e-11   39.1   0.7   1   2     6e-11   3.1e-09   32.5   0.1    25    64     1    40     1    54 0.87 -
TRINITY_DN624_c0_g6_i1:26-298    -             91 652at3041            -            580     3e-11   39.1   0.7   2   2    0.0075      0.39    5.8   0.0   198   217    53    72    48    78 0.86 -
TRINITY_DN32577_c0_g1_i1:426-692 -             89 652at3041            -            580   7.2e-10   34.6   0.2   1   2   9.8e-11     5e-09   31.8   0.0    25    62     3    40     1    52 0.89 -
TRINITY_DN32577_c0_g1_i1:426-692 -             89 652at3041            -            580   7.2e-10   34.6   0.2   2   2      0.18       9.2    1.2   0.0   202   217    55    70    51    87 0.75 -
TRINITY_DN5196_c0_g1_i1:22-318   -             99 652at3041            -            580   3.3e-09   32.4   0.2   1   2   2.7e-09   1.4e-07   27.1   0.1    25    64     1    40     1    51 0.90 -
TRINITY_DN5196_c0_g1_i1:22-318   -             99 652at3041            -            580   3.3e-09   32.4   0.2   2   2     0.029       1.5    3.9   0.0   198   218    53    73    47    83 0.87 -
TRINITY_DN1271_c0_g1_i1:13-549   -            179 652at3041            -            580     2e-08   29.8   0.2   1   2     0.026       1.3    4.0   0.0   411   439    67    95     8   103 0.85 -
