#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN11533_c0_g1_i1:7-432   -            142 6111at3041           -            181   6.3e-40  132.9   0.0   1   1     6e-42   7.3e-40  132.6   0.0    15   137     1   132     1   138 0.91 -
TRINITY_DN572_c0_g1_i6:432-776   -            115 6111at3041           -            181   5.3e-25   84.2   0.1   1   1   4.7e-27   5.7e-25   84.1   0.1    23   127     2   115     1   115 0.88 -
TRINITY_DN572_c0_g1_i4:432-782   -            117 6111at3041           -            181   5.3e-22   74.4   0.0   1   1   4.8e-24   5.9e-22   74.3   0.0    24   127     3   117     1   117 0.86 -
TRINITY_DN33463_c0_g1_i1:75-356  -             94 6111at3041           -            181   5.7e-20   67.8   0.0   1   1   5.5e-22   6.7e-20   67.6   0.0    68   151     1    91     1    93 0.86 -
TRINITY_DN572_c0_g1_i2:379-651   -             91 6111at3041           -            181   5.5e-14   48.3   0.0   1   1   4.9e-16   5.9e-14   48.2   0.0    70   139     1    75     1    89 0.81 -
TRINITY_DN572_c0_g1_i5:379-651   -             91 6111at3041           -            181   5.9e-14   48.2   0.1   1   1   5.3e-16   6.4e-14   48.1   0.1    70   139     1    75     1    89 0.84 -
TRINITY_DN572_c0_g1_i3:259-531   -             91 6111at3041           -            181   1.5e-13   46.9   0.1   1   1   1.4e-15   1.7e-13   46.7   0.1    70   138     2    75     1    80 0.87 -
TRINITY_DN18033_c0_g1_i1:261-578 -            106 6111at3041           -            181   7.2e-06   21.9   0.1   1   1   8.8e-07   0.00011   18.1   0.1    22   109     1   104     1   106 0.69 -
TRINITY_DN14682_c0_g2_i1:6-314   -            103 6111at3041           -            181     2e-05   20.5   0.0   1   1   3.1e-07   3.7e-05   19.6   0.0    20   101     9    99     2   103 0.70 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/6111at3041.hmm
# Target file:     /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Sin/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg03Sin.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Sin/run_chlorophyta_odb10/hmmer_output/rerun_results/6111at3041.out --cpu 1 /sw/bioinfo/BUSCO/v5_lineage_sets/lineages/chlorophyta_odb10/hmms/6111at3041.hmm /crex/proj/snic2022-23-81/expression_algae/code/busco/trinity_VA-3180-Osg03Sin/run_chlorophyta_odb10/metaeuk_output/rerun_results/trinity_VA-3180-Osg03Sin.Trinity.fasta.modified.fas 
# Current dir:     /crex/proj/snic2022-23-81/expression_algae/code/busco
# Date:            Fri Sep 23 10:12:12 2022
# [ok]
